assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_002151465.1	PRJNA224116	SAMN03269135			na		139	139	Borreliella burgdorferi	strain=PAli	yes	latest	Complete Genome	Major	Full	2017/05/19	ASM215146v1	Bavarian Health and Food Safety Authority	GCA_002151465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/465/GCF_002151465.1_ASM215146v1	./data/refseq/bacteria/GCF_002151465.1/GCF_002151465.1_ASM215146v1_genomic.fna.gz
GCF_002151465.1	PRJNA224116	SAMN03269135			na		139	139	Borreliella burgdorferi	strain=PAli	yes	latest	Complete Genome	Major	Full	2017/05/19	ASM215146v1	Bavarian Health and Food Safety Authority	GCA_002151465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/465/GCF_002151465.1_ASM215146v1	./data/refseq/bacteria/GCF_002151465.1/GCF_002151465.1_ASM215146v1_rna_from_genomic.fna.gz
GCF_002151465.1	PRJNA224116	SAMN03269135			na		139	139	Borreliella burgdorferi	strain=PAli	yes	latest	Complete Genome	Major	Full	2017/05/19	ASM215146v1	Bavarian Health and Food Safety Authority	GCA_002151465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/465/GCF_002151465.1_ASM215146v1	./data/refseq/bacteria/GCF_002151465.1/GCF_002151465.1_ASM215146v1_assembly_report.txt
GCF_002151465.1	PRJNA224116	SAMN03269135			na		139	139	Borreliella burgdorferi	strain=PAli	yes	latest	Complete Genome	Major	Full	2017/05/19	ASM215146v1	Bavarian Health and Food Safety Authority	GCA_002151465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/465/GCF_002151465.1_ASM215146v1	./data/refseq/bacteria/GCF_002151465.1/GCF_002151465.1_ASM215146v1_assembly_stats.txt
GCF_002151465.1	PRJNA224116	SAMN03269135			na		139	139	Borreliella burgdorferi	strain=PAli	yes	latest	Complete Genome	Major	Full	2017/05/19	ASM215146v1	Bavarian Health and Food Safety Authority	GCA_002151465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/151/465/GCF_002151465.1_ASM215146v1	./data/refseq/bacteria/GCF_002151465.1/GCF_002151465.1_ASM215146v1_feature_table.txt.gz
GCF_009017435.1	PRJNA224116	SAMN11476981			na		160	160	Treponema pallidum	strain=UW-148B		latest	Chromosome	Major	Full	2019/10/13	ASM901743v1	University of Washington	GCA_009017435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/017/435/GCF_009017435.1_ASM901743v1	./data/refseq/bacteria/GCF_009017435.1/GCF_009017435.1_ASM901743v1_genomic.fna.gz
GCF_009017435.1	PRJNA224116	SAMN11476981			na		160	160	Treponema pallidum	strain=UW-148B		latest	Chromosome	Major	Full	2019/10/13	ASM901743v1	University of Washington	GCA_009017435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/017/435/GCF_009017435.1_ASM901743v1	./data/refseq/bacteria/GCF_009017435.1/GCF_009017435.1_ASM901743v1_rna_from_genomic.fna.gz
GCF_009017435.1	PRJNA224116	SAMN11476981			na		160	160	Treponema pallidum	strain=UW-148B		latest	Chromosome	Major	Full	2019/10/13	ASM901743v1	University of Washington	GCA_009017435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/017/435/GCF_009017435.1_ASM901743v1	./data/refseq/bacteria/GCF_009017435.1/GCF_009017435.1_ASM901743v1_assembly_report.txt
GCF_009017435.1	PRJNA224116	SAMN11476981			na		160	160	Treponema pallidum	strain=UW-148B		latest	Chromosome	Major	Full	2019/10/13	ASM901743v1	University of Washington	GCA_009017435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/017/435/GCF_009017435.1_ASM901743v1	./data/refseq/bacteria/GCF_009017435.1/GCF_009017435.1_ASM901743v1_assembly_stats.txt
GCF_009017435.1	PRJNA224116	SAMN11476981			na		160	160	Treponema pallidum	strain=UW-148B		latest	Chromosome	Major	Full	2019/10/13	ASM901743v1	University of Washington	GCA_009017435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/017/435/GCF_009017435.1_ASM901743v1	./data/refseq/bacteria/GCF_009017435.1/GCF_009017435.1_ASM901743v1_feature_table.txt.gz
