assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000832485.1	PRJNA224116	SAMN03010438			na		1428	1428	Bacillus thuringiensis	strain=HD1011		latest	Complete Genome	Major	Full	2015/02/05	ASM83248v1	Los Alamos National Laboratory	GCA_000832485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/832/485/GCF_000832485.1_ASM83248v1	./data/refseq/bacteria/GCF_000832485.1/GCF_000832485.1_ASM83248v1_assembly_stats.txt
GCF_000832825.1	PRJNA224116	SAMN03085882			na		1428	1428	Bacillus thuringiensis	strain=HD571		latest	Complete Genome	Major	Full	2015/02/05	ASM83282v1	Los Alamos National Laboratory	GCA_000832825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/832/825/GCF_000832825.1_ASM83282v1	./data/refseq/bacteria/GCF_000832825.1/GCF_000832825.1_ASM83282v1_assembly_stats.txt
GCF_000832925.1	PRJNA224116	SAMN03120827			na		1428	1428	Bacillus thuringiensis	strain=HD682		latest	Complete Genome	Major	Full	2015/02/05	ASM83292v1	Los Alamos National Laboratory	GCA_000832925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/832/925/GCF_000832925.1_ASM83292v1	./data/refseq/bacteria/GCF_000832925.1/GCF_000832925.1_ASM83292v1_assembly_stats.txt
GCF_000833085.1	PRJNA224116	SAMN03223175			na		1428	1428	Bacillus thuringiensis	strain=97-27		latest	Complete Genome	Major	Full	2015/02/05	ASM83308v1	Los Alamos National Laboratory	GCA_000833085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/085/GCF_000833085.1_ASM83308v1	./data/refseq/bacteria/GCF_000833085.1/GCF_000833085.1_ASM83308v1_assembly_stats.txt
GCF_001017635.1	PRJNA224116	SAMN03457230			na		1428	1428	Bacillus thuringiensis	strain=YC-10		latest	Complete Genome	Major	Full	2015/06/02	ASM101763v1	Hunan Academy of Agricultural Science,	GCA_001017635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/017/635/GCF_001017635.1_ASM101763v1	./data/refseq/bacteria/GCF_001017635.1/GCF_001017635.1_ASM101763v1_assembly_stats.txt
GCF_001182785.1	PRJNA224116	SAMN03840349			na		1428	1428	Bacillus thuringiensis	strain=HS18-1		latest	Complete Genome	Major	Full	2015/07/20	ASM118278v1	Sichuan Agricultural University	GCA_001182785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/182/785/GCF_001182785.1_ASM118278v1	./data/refseq/bacteria/GCF_001182785.1/GCF_001182785.1_ASM118278v1_assembly_stats.txt
GCF_001420855.1	PRJNA224116	SAMN04210076			na		1428	1428	Bacillus thuringiensis	strain=YWC2-8		latest	Complete Genome	Major	Full	2015/10/30	ASM142085v1	Sichuan Agricultural University	GCA_001420855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/420/855/GCF_001420855.1_ASM142085v1	./data/refseq/bacteria/GCF_001420855.1/GCF_001420855.1_ASM142085v1_assembly_stats.txt
GCF_001455345.1	PRJNA224116	SAMN04278951			na		1428	1428	Bacillus thuringiensis	strain=CTC		latest	Complete Genome	Major	Full	2015/12/02	ASM145534v1	HZAU	GCA_001455345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/455/345/GCF_001455345.1_ASM145534v1	./data/refseq/bacteria/GCF_001455345.1/GCF_001455345.1_ASM145534v1_assembly_stats.txt
GCF_001595725.1	PRJNA224116	SAMN04469537			na		1428	1428	Bacillus thuringiensis	strain=Bt185		latest	Complete Genome	Major	Full	2016/03/22	ASM159572v1	Institute of Plant Protection, Chinese Academy of Agricultural Sciences	GCA_001595725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/595/725/GCF_001595725.1_ASM159572v1	./data/refseq/bacteria/GCF_001595725.1/GCF_001595725.1_ASM159572v1_assembly_stats.txt
GCF_001598095.1	PRJNA224116	SAMN04266503			na		1428	1428	Bacillus thuringiensis	strain=HD12		latest	Complete Genome	Major	Full	2016/03/28	ASM159809v1	Institute of Plant Protection, Chinese Academy of Agricultural Sciences	GCA_001598095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/095/GCF_001598095.1_ASM159809v1	./data/refseq/bacteria/GCF_001598095.1/GCF_001598095.1_ASM159809v1_assembly_stats.txt
GCF_001685565.1	PRJNA224116	SAMN03890259			na		1428	1428	Bacillus thuringiensis	strain=MYBT18246		latest	Complete Genome	Major	Full	2016/07/15	ASM168556v1	Goettingen Genomics Laboratory	GCA_001685565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/685/565/GCF_001685565.1_ASM168556v1	./data/refseq/bacteria/GCF_001685565.1/GCF_001685565.1_ASM168556v1_assembly_stats.txt
GCF_001692675.1	PRJNA224116	SAMN05417762			na		1428	1428	Bacillus thuringiensis	strain=KNU-07		latest	Complete Genome	Major	Full	2016/07/22	ASM169267v1	Shin's Lab., Kyungpook National University	GCA_001692675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/692/675/GCF_001692675.1_ASM169267v1	./data/refseq/bacteria/GCF_001692675.1/GCF_001692675.1_ASM169267v1_assembly_stats.txt
GCF_002025105.1	PRJNA224116	SAMN06473083			na		1428	1428	Bacillus thuringiensis	strain=Bacillus thuringiensis L-7601		latest	Complete Genome	Major	Full	2017/03/13	ASM202510v1	Nankai University	GCA_002025105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/105/GCF_002025105.1_ASM202510v1	./data/refseq/bacteria/GCF_002025105.1/GCF_002025105.1_ASM202510v1_assembly_stats.txt
GCF_002119445.1	PRJNA224116	SAMN06844127			na	assembly from type material	1428	1428	Bacillus thuringiensis	strain=ATCC 10792		latest	Complete Genome	Major	Full	2017/05/09	ASM211944v1	May 15, 2014-2015	GCA_002119445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/445/GCF_002119445.1_ASM211944v1	./data/refseq/bacteria/GCF_002119445.1/GCF_002119445.1_ASM211944v1_assembly_stats.txt
GCF_002173755.1	PRJNA224116	SAMN05846296			na		1428	1428	Bacillus thuringiensis	strain=SCG04-02		latest	Complete Genome	Major	Full	2017/06/06	ASM217375v1	Bacillus thuringiensis	GCA_002173755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/173/755/GCF_002173755.1_ASM217375v1	./data/refseq/bacteria/GCF_002173755.1/GCF_002173755.1_ASM217375v1_assembly_stats.txt
GCF_002184245.1	PRJNA224116	SAMN06197294			na		1428	1428	Bacillus thuringiensis	strain=YGd22-03		latest	Complete Genome	Major	Full	2017/06/09	ASM218424v1	Wuhan Institute Of Virology, Chinese Academy Of Sciences	GCA_002184245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/184/245/GCF_002184245.1_ASM218424v1	./data/refseq/bacteria/GCF_002184245.1/GCF_002184245.1_ASM218424v1_assembly_stats.txt
GCF_002192515.1	PRJNA224116	SAMN06689774			na		1428	1428	Bacillus thuringiensis	strain=BM-BT15426		latest	Complete Genome	Major	Full	2017/06/13	ASM219251v1	South China University of Technology	GCA_002192515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/192/515/GCF_002192515.1_ASM219251v1	./data/refseq/bacteria/GCF_002192515.1/GCF_002192515.1_ASM219251v1_assembly_stats.txt
GCF_002222555.1	PRJNA224116	SAMN07317425			na		1428	1428	Bacillus thuringiensis	strain=c25		latest	Complete Genome	Major	Full	2017/07/20	ASM222255v1	Chungbuk National University	GCA_002222555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/555/GCF_002222555.1_ASM222255v1	./data/refseq/bacteria/GCF_002222555.1/GCF_002222555.1_ASM222255v1_assembly_stats.txt
GCF_003054785.2	PRJNA224116	SAMN08238639			na		1428	1428	Bacillus thuringiensis	strain=BT62		latest	Complete Genome	Major	Full	2019/10/16	ASM305478v2	ICAR-Sugarcane Breeding Institute	GCA_003054785.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/054/785/GCF_003054785.2_ASM305478v2	./data/refseq/bacteria/GCF_003054785.2/GCF_003054785.2_ASM305478v2_assembly_stats.txt
GCF_003626955.1	PRJNA224116	SAMN10141297			na		1428	1428	Bacillus thuringiensis	strain=QZL38		latest	Complete Genome	Major	Full	2018/10/07	ASM362695v1	China	GCA_003626955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/626/955/GCF_003626955.1_ASM362695v1	./data/refseq/bacteria/GCF_003626955.1/GCF_003626955.1_ASM362695v1_assembly_stats.txt
GCF_003991175.1	PRJNA224116	SAMN07156125			na		1428	1428	Bacillus thuringiensis	strain=C15		latest	Complete Genome	Major	Full	2019/01/03	ASM399117v1	Huazhong Agricultural University	GCA_003991175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/991/175/GCF_003991175.1_ASM399117v1	./data/refseq/bacteria/GCF_003991175.1/GCF_003991175.1_ASM399117v1_assembly_stats.txt
GCF_004194435.2	PRJNA224116	SAMN10882255			na		1428	1428	Bacillus thuringiensis	strain=T0131		latest	Chromosome	Major	Full	2019/03/18	ASM419443v2	Federal Universaty of Tocantins	GCA_004194435.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/194/435/GCF_004194435.2_ASM419443v2	./data/refseq/bacteria/GCF_004194435.2/GCF_004194435.2_ASM419443v2_assembly_stats.txt
GCF_004194455.2	PRJNA224116	SAMN10882302			na		1428	1428	Bacillus thuringiensis	strain=T0137		latest	Chromosome	Major	Full	2019/03/18	ASM419445v2	Federal Universaty of Tocantins	GCA_004194455.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/194/455/GCF_004194455.2_ASM419445v2	./data/refseq/bacteria/GCF_004194455.2/GCF_004194455.2_ASM419445v2_assembly_stats.txt
GCF_004194475.2	PRJNA224116	SAMN10882867			na		1428	1428	Bacillus thuringiensis	strain=T0139		latest	Chromosome	Major	Full	2019/03/21	ASM419447v2	Federal Universaty of Tocantins	GCA_004194475.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/194/475/GCF_004194475.2_ASM419447v2	./data/refseq/bacteria/GCF_004194475.2/GCF_004194475.2_ASM419447v2_assembly_stats.txt
GCF_004354265.1	PRJNA224116	SAMN10881981			na		1428	1428	Bacillus thuringiensis	strain=Bti		latest	Chromosome	Major	Full	2019/03/18	ASM435426v1	Federal Universaty of Tocantins	GCA_004354265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/354/265/GCF_004354265.1_ASM435426v1	./data/refseq/bacteria/GCF_004354265.1/GCF_004354265.1_ASM435426v1_assembly_stats.txt
GCF_005155285.1	PRJNA224116	SAMN11479299			na		1428	1428	Bacillus thuringiensis	strain=BT-59		latest	Complete Genome	Major	Full	2019/05/06	ASM515528v1	China	GCA_005155285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/155/285/GCF_005155285.1_ASM515528v1	./data/refseq/bacteria/GCF_005155285.1/GCF_005155285.1_ASM515528v1_assembly_stats.txt
GCF_006151925.1	PRJNA224116	SAMN11931319			na		1428	1428	Bacillus thuringiensis	strain=HM-311		latest	Complete Genome	Major	Full	2019/06/09	ASM615192v1	Nanjing Tech university	GCA_006151925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/151/925/GCF_006151925.1_ASM615192v1	./data/refseq/bacteria/GCF_006151925.1/GCF_006151925.1_ASM615192v1_assembly_stats.txt
GCF_009025915.1	PRJNA224116	SAMN12860338			na		1428	1428	Bacillus thuringiensis	strain=JW-1		latest	Complete Genome	Major	Full	2019/10/14	ASM902591v1	Jiangsu Academy of Agricultural Sciences	GCA_009025915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/025/915/GCF_009025915.1_ASM902591v1	./data/refseq/bacteria/GCF_009025915.1/GCF_009025915.1_ASM902591v1_assembly_stats.txt
GCF_009224065.1	PRJNA224116	SAMN12399663			na		1428	1428	Bacillus thuringiensis	strain=GA-A07		latest	Complete Genome	Major	Full	2019/10/22	ASM922406v1	Taipei Medical University	GCA_009224065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/224/065/GCF_009224065.1_ASM922406v1	./data/refseq/bacteria/GCF_009224065.1/GCF_009224065.1_ASM922406v1_assembly_stats.txt
