assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_003945765.1	PRJNA224116	SAMN08359200			na	assembly from type material	333	587753	Pseudomonas chlororaphis subsp. chlororaphis	strain=DSM 50083		latest	Complete Genome	Major	Full	2018/11/29	ASM394576v1	Universite de Moncton	GCA_003945765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/945/765/GCF_003945765.1_ASM394576v1	./data/refseq/bacteria/GCF_003945765.1/GCF_003945765.1_ASM394576v1_assembly_stats.txt
GCF_000761195.1	PRJNA224116	SAMN02953966			na		86192	587753	Pseudomonas chlororaphis subsp. aurantiaca	strain=JD37		latest	Complete Genome	Major	Full	2014/10/01	ASM76119v1	Shanghai Normal University	GCA_000761195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/761/195/GCF_000761195.1_ASM76119v1	./data/refseq/bacteria/GCF_000761195.1/GCF_000761195.1_ASM76119v1_assembly_stats.txt
GCF_002355875.1	PRJNA224116	SAMD00018963			na		86192	587753	Pseudomonas chlororaphis subsp. aurantiaca	strain=StFRB508		latest	Complete Genome	Major	Full	2016/10/08	ASM235587v1	Department of Material and Environmental Chemistry, Graduate School of Engineering, Utsunomiya University	GCA_002355875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/875/GCF_002355875.1_ASM235587v1	./data/refseq/bacteria/GCF_002355875.1/GCF_002355875.1_ASM235587v1_assembly_stats.txt
GCF_003851165.1	PRJNA224116	SAMN08359197			na		86192	587753	Pseudomonas chlororaphis subsp. aurantiaca	strain=M12		latest	Complete Genome	Major	Full	2018/11/29	ASM385116v1	Universite de Moncton	GCA_003851165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/851/165/GCF_003851165.1_ASM385116v1	./data/refseq/bacteria/GCF_003851165.1/GCF_003851165.1_ASM385116v1_assembly_stats.txt
GCF_003851205.1	PRJNA224116	SAMN08359195			na		86192	587753	Pseudomonas chlororaphis subsp. aurantiaca	strain=449		latest	Complete Genome	Major	Full	2018/11/29	ASM385120v1	Universite de Moncton	GCA_003851205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/851/205/GCF_003851205.1_ASM385120v1	./data/refseq/bacteria/GCF_003851205.1/GCF_003851205.1_ASM385120v1_assembly_stats.txt
GCF_003851225.1	PRJNA224116	SAMN08359193			na		86192	587753	Pseudomonas chlororaphis subsp. aurantiaca	strain=CW2		latest	Complete Genome	Major	Full	2018/11/29	ASM385122v1	Universite de Moncton	GCA_003851225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/851/225/GCF_003851225.1_ASM385122v1	./data/refseq/bacteria/GCF_003851225.1/GCF_003851225.1_ASM385122v1_assembly_stats.txt
GCF_003851265.1	PRJNA224116	SAMN08359192			na		86192	587753	Pseudomonas chlororaphis subsp. aurantiaca	strain=M71		latest	Complete Genome	Major	Full	2018/11/29	ASM385126v1	Universite de Moncton	GCA_003851265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/851/265/GCF_003851265.1_ASM385126v1	./data/refseq/bacteria/GCF_003851265.1/GCF_003851265.1_ASM385126v1_assembly_stats.txt
GCF_003851305.1	PRJNA224116	SAMN08359189			na		86192	587753	Pseudomonas chlororaphis subsp. aurantiaca	strain=PCM 2210		latest	Complete Genome	Major	Full	2018/11/29	ASM385130v1	Universite de Moncton	GCA_003851305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/851/305/GCF_003851305.1_ASM385130v1	./data/refseq/bacteria/GCF_003851305.1/GCF_003851305.1_ASM385130v1_assembly_stats.txt
GCF_003851345.1	PRJNA224116	SAMN08359188			na		86192	587753	Pseudomonas chlororaphis subsp. aurantiaca	strain=Q16		latest	Complete Genome	Major	Full	2018/11/29	ASM385134v1	Universite de Moncton	GCA_003851345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/851/345/GCF_003851345.1_ASM385134v1	./data/refseq/bacteria/GCF_003851345.1/GCF_003851345.1_ASM385134v1_assembly_stats.txt
GCF_003851805.1	PRJNA224116	SAMN08359194			na		86192	587753	Pseudomonas chlororaphis subsp. aurantiaca	strain=464		latest	Complete Genome	Major	Full	2018/11/29	ASM385180v1	Universite de Moncton	GCA_003851805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/851/805/GCF_003851805.1_ASM385180v1	./data/refseq/bacteria/GCF_003851805.1/GCF_003851805.1_ASM385180v1_assembly_stats.txt
GCF_003851835.1	PRJNA224116	SAMN08359190			na	assembly from type material	86192	587753	Pseudomonas chlororaphis subsp. aurantiaca	strain=DSM 19603		latest	Complete Genome	Major	Full	2018/11/29	ASM385183v1	Universite de Moncton	GCA_003851835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/851/835/GCF_003851835.1_ASM385183v1	./data/refseq/bacteria/GCF_003851835.1/GCF_003851835.1_ASM385183v1_assembly_stats.txt
