assembly_accession	species	subsp	strain
GCF_001590655.1	Lacticaseibacillus rhamnosus		ASCC 290
GCF_001988935.1	Lacticaseibacillus rhamnosus		BFE5264
GCF_002025085.1	Lacticaseibacillus rhamnosus		WQ2
GCF_002076955.1	Lacticaseibacillus rhamnosus		Pen
GCF_002158925.1	Lacticaseibacillus rhamnosus		4B15
GCF_002286235.1	Lacticaseibacillus rhamnosus		LR5
GCF_002960215.1	Lacticaseibacillus rhamnosus		SCT-10-10-60
GCF_003433395.1	Lacticaseibacillus rhamnosus		JCM1553
GCF_004010975.1	Lacticaseibacillus rhamnosus		LR-B1
GCF_006151905.1	Lacticaseibacillus rhamnosus		1.0320
GCF_008727835.1	Lacticaseibacillus rhamnosus		hsryfm 1301
GCF_008831425.1	Lacticaseibacillus rhamnosus		BIO6870
GCF_009429065.1	Lacticaseibacillus rhamnosus		IDCC 3201
GCF_009720565.1	Lacticaseibacillus rhamnosus		BIO5326
GCF_013167115.1	Lacticaseibacillus rhamnosus		LV108
GCF_015377485.1	Lacticaseibacillus rhamnosus		TK-F8B
GCF_016599675.1	Lacticaseibacillus rhamnosus		B6
GCF_016653515.1	Lacticaseibacillus rhamnosus		KF7
GCF_017795605.1	Lacticaseibacillus rhamnosus		LDTM7511
GCF_018141205.1	Lacticaseibacillus rhamnosus		CE1
GCF_018228745.1	Lacticaseibacillus rhamnosus		X253
GCF_018286375.1	Lacticaseibacillus rhamnosus		AS
GCF_900636875.1	Lacticaseibacillus rhamnosus		NCTC13710
GCF_900636965.1	Lacticaseibacillus rhamnosus		NCTC13764
GCF_902381635.1	Lacticaseibacillus rhamnosus		MGYG-HGUT-01293
