assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000931425.2	PRJNA224116	SAMN03278695			na		1590	1590	Lactiplantibacillus plantarum	strain=B21		latest	Complete Genome	Major	Full	2018/02/06	ASM93142v2	RMIT University	GCA_000931425.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/931/425/GCF_000931425.2_ASM93142v2	./data/refseq/bacteria/GCF_000931425.2/GCF_000931425.2_ASM93142v2_assembly_stats.txt
GCF_001278015.1	PRJNA224116	SAMN02953961			na		1590	1590	Lactiplantibacillus plantarum	strain=5-2		latest	Complete Genome	Major	Full	2015/09/02	ASM127801v1	Chinese National Human Genome Center at Shanghai	GCA_001278015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/278/015/GCF_001278015.1_ASM127801v1	./data/refseq/bacteria/GCF_001278015.1/GCF_001278015.1_ASM127801v1_assembly_stats.txt
GCF_001296095.1	PRJNA224116	SAMN03952027			na		1590	1590	Lactiplantibacillus plantarum	strain=ZS2058		latest	Complete Genome	Major	Full	2015/09/22	ASM129609v1	Jiangnan University	GCA_001296095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/296/095/GCF_001296095.1_ASM129609v1	./data/refseq/bacteria/GCF_001296095.1/GCF_001296095.1_ASM129609v1_assembly_stats.txt
GCF_001302645.1	PRJNA224116	SAMN04038608			na		1590	1590	Lactiplantibacillus plantarum	strain=HFC8	Lactobacillus plantarum	latest	Complete Genome	Major	Full	2015/09/29	ASM130264v1	CSIR-Institute of Himalayan Bioresource Technology	GCA_001302645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/302/645/GCF_001302645.1_ASM130264v1	./data/refseq/bacteria/GCF_001302645.1/GCF_001302645.1_ASM130264v1_assembly_stats.txt
GCF_001331925.2	PRJNA224116	SAMN04092618			na		1590	1590	Lactiplantibacillus plantarum	strain=WLPL04		latest	Complete Genome	Major	Full	2018/10/18	ASM133192v2	Nanchang University	GCA_001331925.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/331/925/GCF_001331925.2_ASM133192v2	./data/refseq/bacteria/GCF_001331925.2/GCF_001331925.2_ASM133192v2_assembly_stats.txt
GCF_001581895.1	PRJNA224116	SAMN03734222			na		1590	1590	Lactiplantibacillus plantarum	strain=Zhang-LL		latest	Complete Genome	Major	Full	2016/03/08	ASM158189v1	Beijing University of Agricultrue	GCA_001581895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/581/895/GCF_001581895.1_ASM158189v1	./data/refseq/bacteria/GCF_001581895.1/GCF_001581895.1_ASM158189v1_assembly_stats.txt
GCF_001596095.1	PRJNA224116	SAMN04517536			na		1590	1590	Lactiplantibacillus plantarum	strain=JBE245		latest	Complete Genome	Major	Full	2016/03/22	ASM159609v1	Chonbuk National University	GCA_001596095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/596/095/GCF_001596095.1_ASM159609v1	./data/refseq/bacteria/GCF_001596095.1/GCF_001596095.1_ASM159609v1_assembly_stats.txt
GCF_001617525.2	PRJNA224116	SAMN04549363			na		1590	1590	Lactiplantibacillus plantarum	strain=CAUH2		latest	Complete Genome	Major	Full	2018/07/10	ASM161752v2	China Agricultural University	GCA_001617525.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/617/525/GCF_001617525.2_ASM161752v2	./data/refseq/bacteria/GCF_001617525.2/GCF_001617525.2_ASM161752v2_assembly_stats.txt
GCF_001659745.1	PRJNA224116	SAMN05177792			na		1590	1590	Lactiplantibacillus plantarum	strain=LZ206		latest	Complete Genome	Major	Full	2016/06/08	ASM165974v1	Zhejiang Gongshang University	GCA_001659745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/659/745/GCF_001659745.1_ASM165974v1	./data/refseq/bacteria/GCF_001659745.1/GCF_001659745.1_ASM165974v1_assembly_stats.txt
GCF_001660025.1	PRJNA224116	SAMN05162523			na		1590	1590	Lactiplantibacillus plantarum	strain=LZ227		latest	Complete Genome	Major	Full	2016/06/08	ASM166002v1	Zhejiang Gongshang University	GCA_001660025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/025/GCF_001660025.1_ASM166002v1	./data/refseq/bacteria/GCF_001660025.1/GCF_001660025.1_ASM166002v1_assembly_stats.txt
