assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000772125.1	PRJNA224116	SAMN03010508			na		1423	1423	Bacillus subtilis	strain=ATCC 13952		latest	Complete Genome	Major	Full	2014/11/05	ASM77212v1	Jiangxi Normal University	GCA_000772125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/125/GCF_000772125.1_ASM77212v1	./data/refseq/bacteria/GCF_000772125.1/GCF_000772125.1_ASM77212v1_assembly_stats.txt
GCF_000772165.1	PRJNA224116	SAMN03010507			na		1423	1423	Bacillus subtilis	strain=ATCC 19217		latest	Complete Genome	Major	Full	2014/11/05	ASM77216v1	Jiangxi Normal University	GCA_000772165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/165/GCF_000772165.1_ASM77216v1	./data/refseq/bacteria/GCF_000772165.1/GCF_000772165.1_ASM77216v1_assembly_stats.txt
GCF_000772205.1	PRJNA224116	SAMN03009557			na		1423	1423	Bacillus subtilis	strain=Bs-916		latest	Complete Genome	Major	Full	2014/11/05	ASM77220v1	Jiangsu Academy of Agricultural Sciences	GCA_000772205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/205/GCF_000772205.1_ASM77220v1	./data/refseq/bacteria/GCF_000772205.1/GCF_000772205.1_ASM77220v1_assembly_stats.txt
GCF_000782835.1	PRJNA224116	SAMN03145713			na		1423	1423	Bacillus subtilis	strain=SG6		latest	Complete Genome	Major	Full	2014/11/14	ASM78283v1	Institute of Agro-products Processing Science and Technology, Chinese Academy of Agricultural Sciences	GCA_000782835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/782/835/GCF_000782835.1_ASM78283v1	./data/refseq/bacteria/GCF_000782835.1/GCF_000782835.1_ASM78283v1_assembly_stats.txt
GCF_000789295.1	PRJNA224116	SAMN03222590			na		1423	1423	Bacillus subtilis	strain=PS832		latest	Complete Genome	Major	Full	2014/12/04	ASM78929v1	Medical University of Gdansk	GCA_000789295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/789/295/GCF_000789295.1_ASM78929v1	./data/refseq/bacteria/GCF_000789295.1/GCF_000789295.1_ASM78929v1_assembly_stats.txt
GCF_000952895.1	PRJNA224116	SAMEA2247639			na		1423	1423	Bacillus subtilis	strain=BS34A		latest	Complete Genome	Major	Full	2014/11/20	BS34ACh	LEIDEN UNIVERSITY MEDICAL CENTER	GCA_000952895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/952/895/GCF_000952895.1_BS34ACh	./data/refseq/bacteria/GCF_000952895.1/GCF_000952895.1_BS34ACh_assembly_stats.txt
GCF_000953615.1	PRJNA224116	SAMEA2780588			na		1423	1423	Bacillus subtilis	strain=BS49		latest	Complete Genome	Major	Full	2014/11/19	BS49Ch	LEIDEN UNIVERSITY MEDICAL CENTER	GCA_000953615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/615/GCF_000953615.1_BS49Ch	./data/refseq/bacteria/GCF_000953615.1/GCF_000953615.1_BS49Ch_assembly_stats.txt
GCF_001015095.1	PRJNA224116	SAMN03701301			na		1423	1423	Bacillus subtilis	strain=UD1022		latest	Complete Genome	Major	Full	2015/05/29	ASM101509v1	University of Delaware	GCA_001015095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/015/095/GCF_001015095.1_ASM101509v1	./data/refseq/bacteria/GCF_001015095.1/GCF_001015095.1_ASM101509v1_assembly_stats.txt
GCF_001037985.1	PRJNA224116	SAMN03744308			na		1423	1423	Bacillus subtilis	strain=TO-A JPC		latest	Complete Genome	Major	Full	2015/06/23	ASM103798v1	Institute of Microbial Technology	GCA_001037985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/037/985/GCF_001037985.1_ASM103798v1	./data/refseq/bacteria/GCF_001037985.1/GCF_001037985.1_ASM103798v1_assembly_stats.txt
GCF_001704095.1	PRJNA224116	SAMN05520947			na		1423	1423	Bacillus subtilis	strain=HJ0-6		latest	Complete Genome	Major	Full	2016/08/12	ASM170409v1	National Academy of Agrigultural Science	GCA_001704095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/704/095/GCF_001704095.1_ASM170409v1	./data/refseq/bacteria/GCF_001704095.1/GCF_001704095.1_ASM170409v1_assembly_stats.txt
