assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_001469735.1	PRJNA224116	SAMN04320555			na		663	663	Vibrio alginolyticus	strain=ATCC 33787		latest	Complete Genome	Major	Full	2015/12/09	ASM146973v1	South China Sea Institute of Oceanology	GCA_001469735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/735/GCF_001469735.1_ASM146973v1	./data/refseq/bacteria/GCF_001469735.1/GCF_001469735.1_ASM146973v1_assembly_stats.txt
GCF_001679745.1	PRJNA224116	SAMN05271497			na		663	663	Vibrio alginolyticus	strain=ZJ-T		latest	Complete Genome	Major	Full	2016/07/05	ASM167974v1	South China Sea Institute of Oceanology, Chinese Academy of Sciences	GCA_001679745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/679/745/GCF_001679745.1_ASM167974v1	./data/refseq/bacteria/GCF_001679745.1/GCF_001679745.1_ASM167974v1_assembly_stats.txt
GCF_002119505.2	PRJNA224116	SAMN05860636			na		663	663	Vibrio alginolyticus	strain=K01M1		latest	Complete Genome	Major	Full	2018/04/02	ASM211950v2	Goettingen Genomics Laboratory	GCA_002119505.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/505/GCF_002119505.2_ASM211950v2	./data/refseq/bacteria/GCF_002119505.2/GCF_002119505.2_ASM211950v2_assembly_stats.txt
GCF_002119525.1	PRJNA224116	SAMN05860643			na		663	663	Vibrio alginolyticus	strain=K08M4		latest	Complete Genome	Major	Full	2017/05/09	ASM211952v1	Goettingen Genomics Laboratory	GCA_002119525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/525/GCF_002119525.1_ASM211952v1	./data/refseq/bacteria/GCF_002119525.1/GCF_002119525.1_ASM211952v1_assembly_stats.txt
GCF_002119545.1	PRJNA224116	SAMN05860639			na		663	663	Vibrio alginolyticus	strain=K04M5		latest	Complete Genome	Major	Full	2017/05/09	ASM211954v1	Goettingen Genomics Laboratory	GCA_002119545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/545/GCF_002119545.1_ASM211954v1	./data/refseq/bacteria/GCF_002119545.1/GCF_002119545.1_ASM211954v1_assembly_stats.txt
GCF_002119565.1	PRJNA224116	SAMN05860641			na		663	663	Vibrio alginolyticus	strain=K06K5		latest	Complete Genome	Major	Full	2017/05/09	ASM211956v1	Goettingen Genomics Laboratory	GCA_002119565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/565/GCF_002119565.1_ASM211956v1	./data/refseq/bacteria/GCF_002119565.1/GCF_002119565.1_ASM211956v1_assembly_stats.txt
GCF_002119585.1	PRJNA224116	SAMN05860645			na		663	663	Vibrio alginolyticus	strain=K10K4		latest	Complete Genome	Major	Full	2017/05/09	ASM211958v1	Goettingen Genomics Laboratory	GCA_002119585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/585/GCF_002119585.1_ASM211958v1	./data/refseq/bacteria/GCF_002119585.1/GCF_002119585.1_ASM211958v1_assembly_stats.txt
GCF_002149065.1	PRJNA224116	SAMN05860644			na		663	663	Vibrio alginolyticus	strain=K09K1		latest	Complete Genome	Major	Full	2017/05/09	ASM214906v1	Goettingen Genomics Laboratory	GCA_002149065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/149/065/GCF_002149065.1_ASM214906v1	./data/refseq/bacteria/GCF_002149065.1/GCF_002149065.1_ASM214906v1_assembly_stats.txt
GCF_002149085.1	PRJNA224116	SAMN05860642			na		663	663	Vibrio alginolyticus	strain=K08M3		latest	Complete Genome	Major	Full	2017/05/09	ASM214908v1	Goettingen Genomics Laboratory	GCA_002149085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/149/085/GCF_002149085.1_ASM214908v1	./data/refseq/bacteria/GCF_002149085.1/GCF_002149085.1_ASM214908v1_assembly_stats.txt
GCF_002149105.1	PRJNA224116	SAMN05860638			na		663	663	Vibrio alginolyticus		K04M3	latest	Complete Genome	Major	Full	2017/05/09	ASM214910v1	Goettingen Genomics Laboratory	GCA_002149105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/149/105/GCF_002149105.1_ASM214910v1	./data/refseq/bacteria/GCF_002149105.1/GCF_002149105.1_ASM214910v1_assembly_stats.txt
