assembly_accession	species	subsp	strain
GCF_001281065.1	Cutibacterium acnes		KCOM 1861 (= ChDC B594)
GCF_001469555.1	Cutibacterium acnes		PA_30_2_L1
GCF_001469565.1	Cutibacterium acnes		PA_15_1_R1
GCF_001469595.1	Cutibacterium acnes		PA_21_1_L1
GCF_001469615.1	Cutibacterium acnes		PA_15_2_L1
GCF_001469635.1	Cutibacterium acnes		PA_12_1_R1
GCF_001469655.1	Cutibacterium acnes		PA_12_1_L1
GCF_001481615.1	Cutibacterium acnes		A1-14
GCF_003030305.1	Cutibacterium acnes		ATCC 6919
GCF_003390995.1	Cutibacterium acnes		KCOM 1315
GCF_003798465.1	Cutibacterium acnes		FDAARGOS_577
GCF_003812785.1	Cutibacterium acnes		FDAARGOS_503
GCF_008728435.1	Cutibacterium acnes		ATCC 6919
GCF_011399315.1	Cutibacterium acnes		SZ1 orthopedic surgical site of a patient's back
GCF_011399455.1	Cutibacterium acnes		SZ2
GCF_000008345.1	Cutibacterium acnes		KPA171202
GCF_004136215.1	Cutibacterium acnes		KPA171202
GCF_000025765.1	Cutibacterium acnes		SK137
GCF_000213155.1	Cutibacterium acnes		266
GCF_000217615.1	Cutibacterium acnes		6609
GCF_000240015.1	Cutibacterium acnes		TypeIA2 P.acn33
GCF_000240035.1	Cutibacterium acnes		TypeIA2 P.acn17
GCF_000240055.1	Cutibacterium acnes		TypeIA2 P.acn31
GCF_004136195.1	Cutibacterium acnes		DSM 1897
GCF_000302515.1	Cutibacterium acnes		C1
GCF_000709495.1	Cutibacterium acnes		hdn-1
GCF_006739385.1	Cutibacterium acnes	acnes	NBRC 107605
