assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000783755.2	PRJNA224116	SAMN02934525			na		546	546	Citrobacter freundii	strain=FDAARGOS_73		latest	Complete Genome	Major	Full	2018/01/30	ASM78375v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_000783755.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/755/GCF_000783755.2_ASM78375v2	./data/refseq/bacteria/GCF_000783755.2/GCF_000783755.2_ASM78375v2_assembly_stats.txt
GCF_000783995.2	PRJNA224116	SAMN02934510			na		546	546	Citrobacter freundii	strain=FDAARGOS_61		latest	Complete Genome	Major	Full	2018/01/29	ASM78399v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_000783995.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/995/GCF_000783995.2_ASM78399v2	./data/refseq/bacteria/GCF_000783995.2/GCF_000783995.2_ASM78399v2_assembly_stats.txt
GCF_001022155.1	PRJNA224116	SAMN03733741			na		546	546	Citrobacter freundii	strain=CAV1321		latest	Complete Genome	Major	Full	2015/06/09	ASM102215v1	University of Oxford	GCA_001022155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/022/155/GCF_001022155.1_ASM102215v1	./data/refseq/bacteria/GCF_001022155.1/GCF_001022155.1_ASM102215v1_assembly_stats.txt
GCF_001022275.1	PRJNA224116	SAMN03733754			na		546	546	Citrobacter freundii	strain=CAV1741		latest	Complete Genome	Major	Full	2015/06/09	ASM102227v1	University of Oxford	GCA_001022275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/022/275/GCF_001022275.1_ASM102227v1	./data/refseq/bacteria/GCF_001022275.1/GCF_001022275.1_ASM102227v1_assembly_stats.txt
GCF_001702455.1	PRJNA224116	SAMN05464624			na		546	546	Citrobacter freundii	strain=B38		latest	Complete Genome	Major	Full	2016/08/10	ASM170245v1	Universite Laval	GCA_001702455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/702/455/GCF_001702455.1_ASM170245v1	./data/refseq/bacteria/GCF_001702455.1/GCF_001702455.1_ASM170245v1_assembly_stats.txt
GCF_001718055.1	PRJNA224116	SAMN05570461			na		546	546	Citrobacter freundii	strain=SL151		latest	Complete Genome	Major	Full	2016/09/02	ASM171805v1	Naval Research Laboratory	GCA_001718055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/055/GCF_001718055.1_ASM171805v1	./data/refseq/bacteria/GCF_001718055.1/GCF_001718055.1_ASM171805v1_assembly_stats.txt
GCF_001922445.1	PRJNA224116	SAMN06158407			na		546	546	Citrobacter freundii	strain=BD		latest	Chromosome	Major	Full	2016/12/27	ASM192244v1	South china agricultural university	GCA_001922445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/922/445/GCF_001922445.1_ASM192244v1	./data/refseq/bacteria/GCF_001922445.1/GCF_001922445.1_ASM192244v1_assembly_stats.txt
GCF_002211705.1	PRJNA224116	SAMN07260758			na		546	546	Citrobacter freundii	strain=705SK3		latest	Complete Genome	Major	Full	2017/06/30	ASM221170v1	University of Zurich	GCA_002211705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/211/705/GCF_002211705.1_ASM221170v1	./data/refseq/bacteria/GCF_002211705.1/GCF_002211705.1_ASM221170v1_assembly_stats.txt
GCF_002215385.1	PRJNA224116	SAMN07280739			na		546	546	Citrobacter freundii	strain=18-1		latest	Complete Genome	Major	Full	2017/07/06	ASM221538v1	State Key Laboratory for Diagnosis and Treatment of Infectious Disease	GCA_002215385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/385/GCF_002215385.1_ASM221538v1	./data/refseq/bacteria/GCF_002215385.1/GCF_002215385.1_ASM221538v1_assembly_stats.txt
GCF_002786865.1	PRJNA224116	SAMN07944242			na		546	546	Citrobacter freundii	strain=CRCB-101		latest	Complete Genome	Major	Full	2017/11/20	ASM278686v1	Yonsei University College of medicine	GCA_002786865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/786/865/GCF_002786865.1_ASM278686v1	./data/refseq/bacteria/GCF_002786865.1/GCF_002786865.1_ASM278686v1_assembly_stats.txt
GCF_002796485.1	PRJNA224116	SAMN04014862			na		546	546	Citrobacter freundii	strain=AR_0021		latest	Complete Genome	Major	Full	2017/11/27	ASM279648v1	Centers for Disease Control and Prevention	GCA_002796485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/796/485/GCF_002796485.1_ASM279648v1	./data/refseq/bacteria/GCF_002796485.1/GCF_002796485.1_ASM279648v1_assembly_stats.txt
GCF_002796505.1	PRJNA224116	SAMN04014863			na		546	546	Citrobacter freundii	strain=AR_0022		latest	Complete Genome	Major	Full	2017/11/27	ASM279650v1	Centers for Disease Control and Prevention	GCA_002796505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/796/505/GCF_002796505.1_ASM279650v1	./data/refseq/bacteria/GCF_002796505.1/GCF_002796505.1_ASM279650v1_assembly_stats.txt
GCF_002946635.1	PRJNA224116	SAMN04014864			na		546	546	Citrobacter freundii	strain=AR_0023		latest	Complete Genome	Major	Full	2018/02/15	ASM294663v1	Centers for Disease Control and Prevention	GCA_002946635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/946/635/GCF_002946635.1_ASM294663v1	./data/refseq/bacteria/GCF_002946635.1/GCF_002946635.1_ASM294663v1_assembly_stats.txt
GCF_003019835.1	PRJNA224116	SAMN08631944			na		546	546	Citrobacter freundii	strain=B9-C2		latest	Chromosome	Major	Full	2018/03/27	ASM301983v1	University of Malaya	GCA_003019835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/835/GCF_003019835.1_ASM301983v1	./data/refseq/bacteria/GCF_003019835.1/GCF_003019835.1_ASM301983v1_assembly_stats.txt
GCF_003571565.1	PRJNA224116	SAMN04014957			na		546	546	Citrobacter freundii	strain=AR_0116		latest	Complete Genome	Major	Full	2018/09/16	ASM357156v1	Centers for Disease Control and Prevention	GCA_003571565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/571/565/GCF_003571565.1_ASM357156v1	./data/refseq/bacteria/GCF_003571565.1/GCF_003571565.1_ASM357156v1_assembly_stats.txt
GCF_003665535.1	PRJNA224116	SAMN07729551			na		546	546	Citrobacter freundii	strain=UMH19		latest	Complete Genome	Major	Full	2018/10/17	ASM366553v1	University of Michigan	GCA_003665535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/665/535/GCF_003665535.1_ASM366553v1	./data/refseq/bacteria/GCF_003665535.1/GCF_003665535.1_ASM366553v1_assembly_stats.txt
GCF_003665595.1	PRJNA224116	SAMN07729547			na		546	546	Citrobacter freundii	strain=UMH15		latest	Complete Genome	Major	Full	2018/10/17	ASM366559v1	University of Michigan	GCA_003665595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/665/595/GCF_003665595.1_ASM366559v1	./data/refseq/bacteria/GCF_003665595.1/GCF_003665595.1_ASM366559v1_assembly_stats.txt
GCF_003665615.1	PRJNA224116	SAMN07729546			na		546	546	Citrobacter freundii	strain=UMH14		latest	Complete Genome	Major	Full	2018/10/17	ASM366561v1	University of Michigan	GCA_003665615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/665/615/GCF_003665615.1_ASM366561v1	./data/refseq/bacteria/GCF_003665615.1/GCF_003665615.1_ASM366561v1_assembly_stats.txt
GCF_003665635.1	PRJNA224116	SAMN07729545			na		546	546	Citrobacter freundii	strain=UMH13		latest	Complete Genome	Major	Full	2018/10/17	ASM366563v1	University of Michigan	GCA_003665635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/665/635/GCF_003665635.1_ASM366563v1	./data/refseq/bacteria/GCF_003665635.1/GCF_003665635.1_ASM366563v1_assembly_stats.txt
GCF_003665655.1	PRJNA224116	SAMN07729552			na		546	546	Citrobacter freundii	strain=HM38		latest	Complete Genome	Major	Full	2018/10/17	ASM366565v1	University of Michigan	GCA_003665655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/665/655/GCF_003665655.1_ASM366565v1	./data/refseq/bacteria/GCF_003665655.1/GCF_003665655.1_ASM366565v1_assembly_stats.txt
GCF_003665675.1	PRJNA224116	SAMN07729548			na		546	546	Citrobacter freundii	strain=UMH16		latest	Complete Genome	Major	Full	2018/10/17	ASM366567v1	University of Michigan	GCA_003665675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/665/675/GCF_003665675.1_ASM366567v1	./data/refseq/bacteria/GCF_003665675.1/GCF_003665675.1_ASM366567v1_assembly_stats.txt
GCF_003812325.1	PRJNA224116	SAMN10163243			na		546	546	Citrobacter freundii	strain=FDAARGOS_550		latest	Complete Genome	Major	Full	2018/11/21	ASM381232v1	US Food and Drug Administration	GCA_003812325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/325/GCF_003812325.1_ASM381232v1	./data/refseq/bacteria/GCF_003812325.1/GCF_003812325.1_ASM381232v1_assembly_stats.txt
GCF_003812345.1	PRJNA224116	SAMN10163242			representative genome		546	546	Citrobacter freundii	strain=FDAARGOS_549		latest	Complete Genome	Major	Full	2018/11/21	ASM381234v1	US Food and Drug Administration	GCA_003812345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/345/GCF_003812345.1_ASM381234v1	./data/refseq/bacteria/GCF_003812345.1/GCF_003812345.1_ASM381234v1_assembly_stats.txt
GCF_004103775.1	PRJNA224116	SAMN10754625			na		546	546	Citrobacter freundii	strain=R17		latest	Complete Genome	Major	Full	2019/01/23	ASM410377v1	Zhejiang Chinese Medical University	GCA_004103775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/103/775/GCF_004103775.1_ASM410377v1	./data/refseq/bacteria/GCF_004103775.1/GCF_004103775.1_ASM410377v1_assembly_stats.txt
GCF_004344985.1	PRJNA224116	SAMN11055879			na		546	546	Citrobacter freundii	strain=CAV1857		latest	Complete Genome	Major	Full	2019/03/12	ASM434498v1	University of Oxford	GCA_004344985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/344/985/GCF_004344985.1_ASM434498v1	./data/refseq/bacteria/GCF_004344985.1/GCF_004344985.1_ASM434498v1_assembly_stats.txt
GCF_004792475.1	PRJNA224116	SAMN11268911			na		546	546	Citrobacter freundii	strain=Upstream_1		latest	Complete Genome	Major	Full	2019/04/14	ASM479247v1	REHAB	GCA_004792475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/792/475/GCF_004792475.1_ASM479247v1	./data/refseq/bacteria/GCF_004792475.1/GCF_004792475.1_ASM479247v1_assembly_stats.txt
