assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_001598635.1	PRJNA224116	SAMN04585513			na		1351	1351	Enterococcus faecalis	strain=LD33		latest	Complete Genome	Major	Full	2016/03/28	ASM159863v1	Harbin Institute of Technology	GCA_001598635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/635/GCF_001598635.1_ASM159863v1	./data/refseq/bacteria/GCF_001598635.1/GCF_001598635.1_ASM159863v1_genomic.fna.gz
GCF_001598635.1	PRJNA224116	SAMN04585513			na		1351	1351	Enterococcus faecalis	strain=LD33		latest	Complete Genome	Major	Full	2016/03/28	ASM159863v1	Harbin Institute of Technology	GCA_001598635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/635/GCF_001598635.1_ASM159863v1	./data/refseq/bacteria/GCF_001598635.1/GCF_001598635.1_ASM159863v1_rna_from_genomic.fna.gz
GCF_001598635.1	PRJNA224116	SAMN04585513			na		1351	1351	Enterococcus faecalis	strain=LD33		latest	Complete Genome	Major	Full	2016/03/28	ASM159863v1	Harbin Institute of Technology	GCA_001598635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/635/GCF_001598635.1_ASM159863v1	./data/refseq/bacteria/GCF_001598635.1/GCF_001598635.1_ASM159863v1_assembly_report.txt
GCF_001598635.1	PRJNA224116	SAMN04585513			na		1351	1351	Enterococcus faecalis	strain=LD33		latest	Complete Genome	Major	Full	2016/03/28	ASM159863v1	Harbin Institute of Technology	GCA_001598635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/635/GCF_001598635.1_ASM159863v1	./data/refseq/bacteria/GCF_001598635.1/GCF_001598635.1_ASM159863v1_assembly_stats.txt
GCF_001598635.1	PRJNA224116	SAMN04585513			na		1351	1351	Enterococcus faecalis	strain=LD33		latest	Complete Genome	Major	Full	2016/03/28	ASM159863v1	Harbin Institute of Technology	GCA_001598635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/635/GCF_001598635.1_ASM159863v1	./data/refseq/bacteria/GCF_001598635.1/GCF_001598635.1_ASM159863v1_feature_table.txt.gz
GCF_001878735.2	PRJNA224116	SAMN05990127			na		1351	1351	Enterococcus faecalis	strain=L9		latest	Chromosome	Major	Full	2019/11/12	ASM187873v2	USP	GCA_001878735.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/878/735/GCF_001878735.2_ASM187873v2	./data/refseq/bacteria/GCF_001878735.2/GCF_001878735.2_ASM187873v2_genomic.fna.gz
GCF_001878735.2	PRJNA224116	SAMN05990127			na		1351	1351	Enterococcus faecalis	strain=L9		latest	Chromosome	Major	Full	2019/11/12	ASM187873v2	USP	GCA_001878735.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/878/735/GCF_001878735.2_ASM187873v2	./data/refseq/bacteria/GCF_001878735.2/GCF_001878735.2_ASM187873v2_rna_from_genomic.fna.gz
GCF_001878735.2	PRJNA224116	SAMN05990127			na		1351	1351	Enterococcus faecalis	strain=L9		latest	Chromosome	Major	Full	2019/11/12	ASM187873v2	USP	GCA_001878735.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/878/735/GCF_001878735.2_ASM187873v2	./data/refseq/bacteria/GCF_001878735.2/GCF_001878735.2_ASM187873v2_assembly_report.txt
GCF_001878735.2	PRJNA224116	SAMN05990127			na		1351	1351	Enterococcus faecalis	strain=L9		latest	Chromosome	Major	Full	2019/11/12	ASM187873v2	USP	GCA_001878735.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/878/735/GCF_001878735.2_ASM187873v2	./data/refseq/bacteria/GCF_001878735.2/GCF_001878735.2_ASM187873v2_assembly_stats.txt
GCF_001878735.2	PRJNA224116	SAMN05990127			na		1351	1351	Enterococcus faecalis	strain=L9		latest	Chromosome	Major	Full	2019/11/12	ASM187873v2	USP	GCA_001878735.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/878/735/GCF_001878735.2_ASM187873v2	./data/refseq/bacteria/GCF_001878735.2/GCF_001878735.2_ASM187873v2_feature_table.txt.gz
GCF_001886675.1	PRJNA224116	SAMN06042544			na		1351	1351	Enterococcus faecalis	strain=L12		latest	Complete Genome	Major	Full	2016/11/28	ASM188667v1	USP	GCA_001886675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/675/GCF_001886675.1_ASM188667v1	./data/refseq/bacteria/GCF_001886675.1/GCF_001886675.1_ASM188667v1_genomic.fna.gz
GCF_001886675.1	PRJNA224116	SAMN06042544			na		1351	1351	Enterococcus faecalis	strain=L12		latest	Complete Genome	Major	Full	2016/11/28	ASM188667v1	USP	GCA_001886675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/675/GCF_001886675.1_ASM188667v1	./data/refseq/bacteria/GCF_001886675.1/GCF_001886675.1_ASM188667v1_rna_from_genomic.fna.gz
GCF_001886675.1	PRJNA224116	SAMN06042544			na		1351	1351	Enterococcus faecalis	strain=L12		latest	Complete Genome	Major	Full	2016/11/28	ASM188667v1	USP	GCA_001886675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/675/GCF_001886675.1_ASM188667v1	./data/refseq/bacteria/GCF_001886675.1/GCF_001886675.1_ASM188667v1_assembly_report.txt
GCF_001886675.1	PRJNA224116	SAMN06042544			na		1351	1351	Enterococcus faecalis	strain=L12		latest	Complete Genome	Major	Full	2016/11/28	ASM188667v1	USP	GCA_001886675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/675/GCF_001886675.1_ASM188667v1	./data/refseq/bacteria/GCF_001886675.1/GCF_001886675.1_ASM188667v1_assembly_stats.txt
GCF_001886675.1	PRJNA224116	SAMN06042544			na		1351	1351	Enterococcus faecalis	strain=L12		latest	Complete Genome	Major	Full	2016/11/28	ASM188667v1	USP	GCA_001886675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/675/GCF_001886675.1_ASM188667v1	./data/refseq/bacteria/GCF_001886675.1/GCF_001886675.1_ASM188667v1_feature_table.txt.gz
GCF_001931845.1	PRJNA224116	SAMN05200884			na		1351	1351	Enterococcus faecalis	strain=AMB05		latest	Chromosome	Major	Full	2017/01/04	ASM193184v1	Rzeszow University of Technology	GCA_001931845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/931/845/GCF_001931845.1_ASM193184v1	./data/refseq/bacteria/GCF_001931845.1/GCF_001931845.1_ASM193184v1_genomic.fna.gz
GCF_001931845.1	PRJNA224116	SAMN05200884			na		1351	1351	Enterococcus faecalis	strain=AMB05		latest	Chromosome	Major	Full	2017/01/04	ASM193184v1	Rzeszow University of Technology	GCA_001931845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/931/845/GCF_001931845.1_ASM193184v1	./data/refseq/bacteria/GCF_001931845.1/GCF_001931845.1_ASM193184v1_rna_from_genomic.fna.gz
