assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000695895.1	PRJNA224116	SAMN02797738			na		28025	28025	Bifidobacterium animalis	strain=RH		latest	Complete Genome	Major	Full	2014/05/27	ASM69589v1	China Agricultural University	GCA_000695895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/895/GCF_000695895.1_ASM69589v1	./data/refseq/bacteria/GCF_000695895.1/GCF_000695895.1_ASM69589v1_assembly_stats.txt
GCF_000817045.1	PRJNA224116	SAMN03273367			na		28025	28025	Bifidobacterium animalis	strain=A6		latest	Complete Genome	Major	Full	2015/01/09	ASM81704v1	China Agricultural University	GCA_000817045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/045/GCF_000817045.1_ASM81704v1	./data/refseq/bacteria/GCF_000817045.1/GCF_000817045.1_ASM81704v1_assembly_stats.txt
GCF_002220485.1	PRJNA224116	SAMN05631165			na		28025	28025	Bifidobacterium animalis	strain=BL3		latest	Complete Genome	Major	Full	2017/07/18	ASM222048v1	Korea Food Research Institute	GCA_002220485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/485/GCF_002220485.1_ASM222048v1	./data/refseq/bacteria/GCF_002220485.1/GCF_002220485.1_ASM222048v1_assembly_stats.txt
GCF_004135895.1	PRJNA224116	SAMN10817706			na		28025	28025	Bifidobacterium animalis	strain=01		latest	Complete Genome	Major	Full	2019/02/04	ASM413589v1	China Agricultural University	GCA_004135895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/895/GCF_004135895.1_ASM413589v1	./data/refseq/bacteria/GCF_004135895.1/GCF_004135895.1_ASM413589v1_assembly_stats.txt
GCF_008041995.1	PRJNA224116	SAMN12569105			na		28025	28025	Bifidobacterium animalis	strain=B06		latest	Complete Genome	Major	Full	2019/08/21	ASM804199v1	Haerbin Meihua Biotechnology	GCA_008041995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/041/995/GCF_008041995.1_ASM804199v1	./data/refseq/bacteria/GCF_008041995.1/GCF_008041995.1_ASM804199v1_assembly_stats.txt
GCF_011770105.1	PRJNA224116	SAMN13663592			na		28025	28025	Bifidobacterium animalis	strain=Probio-M8		latest	Complete Genome	Major	Full	2020/03/30	ASM1177010v1	Inner Mongolia Agricultural University	GCA_011770105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/770/105/GCF_011770105.1_ASM1177010v1	./data/refseq/bacteria/GCF_011770105.1/GCF_011770105.1_ASM1177010v1_assembly_stats.txt
GCF_015377505.1	PRJNA224116	SAMN13106276			na		28025	28025	Bifidobacterium animalis	strain=TK-J6A		latest	Complete Genome	Major	Full	2020/11/12	ASM1537750v1	Zhejiang Tianke High Technology Development Co.Ltd.	GCA_015377505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/377/505/GCF_015377505.1_ASM1537750v1	./data/refseq/bacteria/GCF_015377505.1/GCF_015377505.1_ASM1537750v1_assembly_stats.txt
GCF_016696725.1	PRJNA224116	SAMN16911581			na		28025	28025	Bifidobacterium animalis	strain=YL2		latest	Chromosome	Major	Full	2021/01/19	ASM1669672v1	Institut Pasteur	GCA_016696725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/696/725/GCF_016696725.1_ASM1669672v1	./data/refseq/bacteria/GCF_016696725.1/GCF_016696725.1_ASM1669672v1_assembly_stats.txt
GCF_902387355.1	PRJNA224116	SAMEA5851964			na		28025	28025	Bifidobacterium animalis		MGYG-HGUT-02459	latest	Complete Genome	Major	Full	2019/08/10	UHGG_MGYG-HGUT-02459	EMG	GCA_902387355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/387/355/GCF_902387355.1_UHGG_MGYG-HGUT-02459	./data/refseq/bacteria/GCF_902387355.1/GCF_902387355.1_UHGG_MGYG-HGUT-02459_assembly_stats.txt
GCF_000818055.1	PRJNA224116	SAMN02941905			na		302911	28025	Bifidobacterium animalis subsp. lactis	strain=BF052		latest	Complete Genome	Major	Full	2015/01/14	ASM81805v1	Suranaree University of Technology	GCA_000818055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/818/055/GCF_000818055.1_ASM81805v1	./data/refseq/bacteria/GCF_000818055.1/GCF_000818055.1_ASM81805v1_assembly_stats.txt
GCF_003390755.1	PRJNA224116	SAMN07488464			na		302911	28025	Bifidobacterium animalis subsp. lactis	strain=S7		latest	Complete Genome	Major	Full	2018/08/15	ASM339075v1	Korea Food Research Institute	GCA_003390755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/390/755/GCF_003390755.1_ASM339075v1	./data/refseq/bacteria/GCF_003390755.1/GCF_003390755.1_ASM339075v1_assembly_stats.txt
GCF_003428375.1	PRJNA224116	SAMN09858435			na		302911	28025	Bifidobacterium animalis subsp. lactis	strain=IDCC4301		latest	Complete Genome	Major	Full	2018/08/26	ASM342837v1	Research Laboratories, Ildong Pharmaceutical	GCA_003428375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/428/375/GCF_003428375.1_ASM342837v1	./data/refseq/bacteria/GCF_003428375.1/GCF_003428375.1_ASM342837v1_assembly_stats.txt
GCF_003606305.1	PRJNA224116	SAMN09684768			na		302911	28025	Bifidobacterium animalis subsp. lactis	strain=HN019		latest	Complete Genome	Major	Full	2018/09/28	ASM360630v1	DuPont Nutrition & Health	GCA_003606305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/606/305/GCF_003606305.1_ASM360630v1	./data/refseq/bacteria/GCF_003606305.1/GCF_003606305.1_ASM360630v1_assembly_stats.txt
GCF_016835115.1	PRJNA224116	SAMN16477311			na		302911	28025	Bifidobacterium animalis subsp. lactis	strain=H1		latest	Complete Genome	Major	Full	2021/02/08	ASM1683511v1	Institute of Microbiology, Belarus National Academy of Sciences	GCA_016835115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/835/115/GCF_016835115.1_ASM1683511v1	./data/refseq/bacteria/GCF_016835115.1/GCF_016835115.1_ASM1683511v1_assembly_stats.txt
GCF_016835135.1	PRJNA224116	SAMN03098186			na		302911	28025	Bifidobacterium animalis subsp. lactis	strain=H3		latest	Complete Genome	Major	Full	2021/02/08	ASM1683513v1	Institute of Microbiology, Belarus National Academy of Sciences	GCA_016835135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/835/135/GCF_016835135.1_ASM1683513v1	./data/refseq/bacteria/GCF_016835135.1/GCF_016835135.1_ASM1683513v1_assembly_stats.txt
GCF_001688645.2	PRJNA224116	SAMN04621611			na		302912	28025	Bifidobacterium animalis subsp. animalis	strain=YL2		latest	Complete Genome	Major	Full	2017/04/05	ASM168864v2	University of Bern	GCA_001688645.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/645/GCF_001688645.2_ASM168864v2	./data/refseq/bacteria/GCF_001688645.2/GCF_001688645.2_ASM168864v2_assembly_stats.txt
GCF_003671995.1	PRJNA224116	SAMN08774047			na		302912	28025	Bifidobacterium animalis subsp. animalis	strain=CNCM I-4602		latest	Complete Genome	Major	Full	2018/10/22	ASM367199v1	University College Cork	GCA_003671995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/671/995/GCF_003671995.1_ASM367199v1	./data/refseq/bacteria/GCF_003671995.1/GCF_003671995.1_ASM367199v1_assembly_stats.txt
GCF_000025245.2	PRJNA224116	SAMN02603131			na		552531	28025	Bifidobacterium animalis subsp. lactis BB-12	strain=BB-12		latest	Complete Genome	Major	Full	2020/11/18	ASM2524v2	Chr. Hansen A/S	GCA_000025245.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/245/GCF_000025245.2_ASM2524v2	./data/refseq/bacteria/GCF_000025245.2/GCF_000025245.2_ASM2524v2_assembly_stats.txt
GCF_000092765.1	PRJNA224116	SAMN02603934			na		573236	28025	Bifidobacterium animalis subsp. lactis V9	strain=V9		latest	Complete Genome	Major	Full	2010/05/05	ASM9276v1	The Key Laboratory of Dairy Biotechnology and Bioengineering, Education Ministry of P. R. China, Department of Food Science and Engineering, Inner Mongolia Agricultural University, China	GCA_000092765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/765/GCF_000092765.1_ASM9276v1	./data/refseq/bacteria/GCF_000092765.1/GCF_000092765.1_ASM9276v1_assembly_stats.txt
GCF_000022705.1	PRJNA224116	SAMN02603172			na		580050	28025	Bifidobacterium animalis subsp. lactis Bl-04	strain=Bl-04; ATCC SD5219		latest	Complete Genome	Major	Full	2009/06/19	ASM2270v1	Danisco USA Inc.	GCA_000022705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/705/GCF_000022705.1_ASM2270v1	./data/refseq/bacteria/GCF_000022705.1/GCF_000022705.1_ASM2270v1_assembly_stats.txt
