assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_001188185.2	PRJNA224116	SAMN03255431			na		670	670	Vibrio parahaemolyticus	strain=FDAARGOS_51		latest	Complete Genome	Major	Full	2018/01/30	ASM118818v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_001188185.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/188/185/GCF_001188185.2_ASM118818v2	./data/refseq/bacteria/GCF_001188185.2/GCF_001188185.2_ASM118818v2_assembly_stats.txt
GCF_001244315.1	PRJNA224116	SAMN03159469			na		670	670	Vibrio parahaemolyticus	strain=FORC_008		latest	Complete Genome	Major	Full	2015/08/05	ASM124431v1	Food-borne Pathogen Omics Research Center, FORC	GCA_001244315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/244/315/GCF_001244315.1_ASM124431v1	./data/refseq/bacteria/GCF_001244315.1/GCF_001244315.1_ASM124431v1_assembly_stats.txt
GCF_001304775.1	PRJNA224116	SAMN03140318			na		670	670	Vibrio parahaemolyticus	strain=FORC_006		latest	Complete Genome	Major	Full	2015/10/01	ASM130477v1	Food-borne Pathogen Omics Research Center, FORC	GCA_001304775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/304/775/GCF_001304775.1_ASM130477v1	./data/refseq/bacteria/GCF_001304775.1/GCF_001304775.1_ASM130477v1_assembly_stats.txt
GCF_001433415.1	PRJNA224116	SAMN03140317			na		670	670	Vibrio parahaemolyticus	strain=FORC_004		latest	Complete Genome	Major	Full	2015/11/05	ASM143341v1	Food-borne Pathogen Omics Research Center, FORC	GCA_001433415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/415/GCF_001433415.1_ASM143341v1	./data/refseq/bacteria/GCF_001433415.1/GCF_001433415.1_ASM143341v1_assembly_stats.txt
GCF_001558495.2	PRJNA224116	SAMN03996250			na	assembly from type material	670	670	Vibrio parahaemolyticus	strain=FDAARGOS_115		latest	Complete Genome	Major	Full	2018/01/31	ASM155849v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_001558495.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/495/GCF_001558495.2_ASM155849v2	./data/refseq/bacteria/GCF_001558495.2/GCF_001558495.2_ASM155849v2_assembly_stats.txt
GCF_001682175.1	PRJNA224116	SAMN03766034			na		670	670	Vibrio parahaemolyticus	strain=MAVP-Q		latest	Complete Genome	Major	Full	2016/07/08	ASM168217v1	FENG XU	GCA_001682175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/682/175/GCF_001682175.1_ASM168217v1	./data/refseq/bacteria/GCF_001682175.1/GCF_001682175.1_ASM168217v1_assembly_stats.txt
GCF_001700835.1	PRJNA224116	SAMN03325855			na		670	670	Vibrio parahaemolyticus	strain=CHN25		latest	Complete Genome	Major	Full	2016/08/09	ASM170083v1	Shanghai Ocean University	GCA_001700835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/700/835/GCF_001700835.1_ASM170083v1	./data/refseq/bacteria/GCF_001700835.1/GCF_001700835.1_ASM170083v1_assembly_stats.txt
GCF_001758605.1	PRJNA224116	SAMN03701448			na		670	670	Vibrio parahaemolyticus	strain=FORC_023	378	latest	Complete Genome	Major	Full	2016/10/11	ASM175860v1	Food-borne Pathogen Omics Research Center, FORC	GCA_001758605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/758/605/GCF_001758605.1_ASM175860v1	./data/refseq/bacteria/GCF_001758605.1/GCF_001758605.1_ASM175860v1_assembly_stats.txt
GCF_001879585.1	PRJNA224116	SAMN04241617			na		670	670	Vibrio parahaemolyticus	strain=FORC_022		latest	Complete Genome	Major	Full	2016/11/16	ASM187958v1	Food-borne Pathogen Omics Research Center, FORC	GCA_001879585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/879/585/GCF_001879585.1_ASM187958v1	./data/refseq/bacteria/GCF_001879585.1/GCF_001879585.1_ASM187958v1_assembly_stats.txt
GCF_001887055.1	PRJNA224116	SAMN04285689			na		670	670	Vibrio parahaemolyticus	strain=FORC_018		latest	Complete Genome	Major	Full	2016/11/28	ASM188705v1	Food-borne Pathogen Omics Research Center, FORC	GCA_001887055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/887/055/GCF_001887055.1_ASM188705v1	./data/refseq/bacteria/GCF_001887055.1/GCF_001887055.1_ASM188705v1_assembly_stats.txt
GCF_001951115.1	PRJNA224116	SAMN05977307			na		670	670	Vibrio parahaemolyticus	strain=1682	V12/023	latest	Chromosome	Major	Full	2017/01/13	ASM195111v1	Cefas	GCA_001951115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/951/115/GCF_001951115.1_ASM195111v1	./data/refseq/bacteria/GCF_001951115.1/GCF_001951115.1_ASM195111v1_assembly_stats.txt
