assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000590575.1	PRJNA224116	SAMN02189829			na		813	813	Chlamydia trachomatis	strain=F/1-93		latest	Complete Genome	Major	Full	2013/08/21	ASM59057v1	Oregon State University	GCA_000590575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/575/GCF_000590575.1_ASM59057v1	./data/refseq/bacteria/GCF_000590575.1/GCF_000590575.1_ASM59057v1_assembly_stats.txt
GCF_000590595.1	PRJNA224116	SAMN02189830			na		813	813	Chlamydia trachomatis	strain=F/2-93		latest	Chromosome	Major	Full	2013/08/21	ASM59059v1	Oregon State University	GCA_000590595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/595/GCF_000590595.1_ASM59059v1	./data/refseq/bacteria/GCF_000590595.1/GCF_000590595.1_ASM59059v1_assembly_stats.txt
GCF_000590615.1	PRJNA224116	SAMN02189831			na		813	813	Chlamydia trachomatis	strain=F/6-94		latest	Complete Genome	Major	Full	2013/08/21	ASM59061v1	Oregon State University	GCA_000590615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/615/GCF_000590615.1_ASM59061v1	./data/refseq/bacteria/GCF_000590615.1/GCF_000590615.1_ASM59061v1_assembly_stats.txt
GCF_000590655.1	PRJNA224116	SAMN02189833			na		813	813	Chlamydia trachomatis	strain=E/12-94		latest	Chromosome	Major	Full	2013/08/21	ASM59065v1	Oregon State University	GCA_000590655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/655/GCF_000590655.1_ASM59065v1	./data/refseq/bacteria/GCF_000590655.1/GCF_000590655.1_ASM59065v1_assembly_stats.txt
GCF_000590675.1	PRJNA224116	SAMN02189834			na		813	813	Chlamydia trachomatis	strain=D/13-96		latest	Complete Genome	Major	Full	2013/08/21	ASM59067v1	Oregon State University	GCA_000590675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/675/GCF_000590675.1_ASM59067v1	./data/refseq/bacteria/GCF_000590675.1/GCF_000590675.1_ASM59067v1_assembly_stats.txt
GCF_000590695.1	PRJNA224116	SAMN02189835			na		813	813	Chlamydia trachomatis	strain=D/14-96		latest	Chromosome	Major	Full	2013/08/21	ASM59069v1	Oregon State University	GCA_000590695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/695/GCF_000590695.1_ASM59069v1	./data/refseq/bacteria/GCF_000590695.1/GCF_000590695.1_ASM59069v1_assembly_stats.txt
GCF_000590715.1	PRJNA224116	SAMN02189836			na		813	813	Chlamydia trachomatis	strain=Ia20-97		latest	Chromosome	Major	Full	2013/08/21	ASM59071v1	Oregon State University	GCA_000590715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/715/GCF_000590715.1_ASM59071v1	./data/refseq/bacteria/GCF_000590715.1/GCF_000590715.1_ASM59071v1_assembly_stats.txt
GCF_000590735.1	PRJNA224116	SAMN02189837			na		813	813	Chlamydia trachomatis	strain=J/27-97		latest	Chromosome	Major	Full	2013/08/21	ASM59073v1	Oregon State University	GCA_000590735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/735/GCF_000590735.1_ASM59073v1	./data/refseq/bacteria/GCF_000590735.1/GCF_000590735.1_ASM59073v1_assembly_stats.txt
GCF_000590755.1	PRJNA224116	SAMN02189838			na		813	813	Chlamydia trachomatis	strain=J/31-98		latest	Complete Genome	Major	Full	2013/08/21	ASM59075v1	Oregon State University	GCA_000590755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/755/GCF_000590755.1_ASM59075v1	./data/refseq/bacteria/GCF_000590755.1/GCF_000590755.1_ASM59075v1_assembly_stats.txt
GCF_000971705.1	PRJNA224116	SAMN03195884			na		813	813	Chlamydia trachomatis	strain=L2b/CS19/08		latest	Complete Genome	Major	Full	2015/04/13	ASM97170v1	National Institute of Health, Portugal	GCA_000971705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/705/GCF_000971705.1_ASM97170v1	./data/refseq/bacteria/GCF_000971705.1/GCF_000971705.1_ASM97170v1_assembly_stats.txt
GCF_000971725.1	PRJNA224116	SAMN03195889			na		813	813	Chlamydia trachomatis	strain=L2b/CS784/08		latest	Complete Genome	Major	Full	2015/04/13	ASM97172v1	National Institute of Health, Portugal	GCA_000971725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/725/GCF_000971725.1_ASM97172v1	./data/refseq/bacteria/GCF_000971725.1/GCF_000971725.1_ASM97172v1_assembly_stats.txt
GCF_001183805.1	PRJNA224116	SAMN03290707			na		813	813	Chlamydia trachomatis	strain=E/CS1025/11		latest	Complete Genome	Major	Full	2015/07/21	ASM118380v1	National Institute of Health, Portugal	GCA_001183805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/183/805/GCF_001183805.1_ASM118380v1	./data/refseq/bacteria/GCF_001183805.1/GCF_001183805.1_ASM118380v1_assembly_stats.txt
GCF_001183825.1	PRJNA224116	SAMN03290797			na		813	813	Chlamydia trachomatis	strain=F/CS847/08		latest	Complete Genome	Major	Full	2015/07/21	ASM118382v1	National Institute of Health, Portugal	GCA_001183825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/183/825/GCF_001183825.1_ASM118382v1	./data/refseq/bacteria/GCF_001183825.1/GCF_001183825.1_ASM118382v1_assembly_stats.txt
GCF_001183845.1	PRJNA224116	SAMN03290798			na		813	813	Chlamydia trachomatis	strain=Ia/CS190/96		latest	Complete Genome	Major	Full	2015/07/21	ASM118384v1	National Institute of Health, Portugal	GCA_001183845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/183/845/GCF_001183845.1_ASM118384v1	./data/refseq/bacteria/GCF_001183845.1/GCF_001183845.1_ASM118384v1_assembly_stats.txt
GCF_001655335.1	PRJNA224116	SAMN04590078			na		813	813	Chlamydia trachomatis	strain=E-103		latest	Complete Genome	Major	Full	2016/06/03	ASM165533v1	CHI: Chlamydien-Wirtszell-Interaktion	GCA_001655335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/655/335/GCF_001655335.1_ASM165533v1	./data/refseq/bacteria/GCF_001655335.1/GCF_001655335.1_ASM165533v1_assembly_stats.txt
GCF_001655375.1	PRJNA224116	SAMN04590080			na		813	813	Chlamydia trachomatis	strain=E-160		latest	Complete Genome	Major	Full	2016/06/03	ASM165537v1	CHI: Chlamydien-Wirtszell-Interaktion	GCA_001655375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/655/375/GCF_001655375.1_ASM165537v1	./data/refseq/bacteria/GCF_001655375.1/GCF_001655375.1_ASM165537v1_assembly_stats.txt
GCF_001655415.1	PRJNA224116	SAMN04590083			na		813	813	Chlamydia trachomatis	strain=E-547		latest	Complete Genome	Major	Full	2016/06/03	ASM165541v1	CHI: Chlamydien-Wirtszell-Interaktion	GCA_001655415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/655/415/GCF_001655415.1_ASM165541v1	./data/refseq/bacteria/GCF_001655415.1/GCF_001655415.1_ASM165541v1_assembly_stats.txt
GCF_001655455.1	PRJNA224116	SAMN04590085			na		813	813	Chlamydia trachomatis	strain=E-8873		latest	Complete Genome	Major	Full	2016/06/03	ASM165545v1	CHI: Chlamydien-Wirtszell-Interaktion	GCA_001655455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/655/455/GCF_001655455.1_ASM165545v1	./data/refseq/bacteria/GCF_001655455.1/GCF_001655455.1_ASM165545v1_assembly_stats.txt
GCF_001655495.1	PRJNA224116	SAMN04590087			na		813	813	Chlamydia trachomatis	strain=E-32931		latest	Complete Genome	Major	Full	2016/06/03	ASM165549v1	CHI: Chlamydien-Wirtszell-Interaktion	GCA_001655495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/655/495/GCF_001655495.1_ASM165549v1	./data/refseq/bacteria/GCF_001655495.1/GCF_001655495.1_ASM165549v1_assembly_stats.txt
GCF_001655535.1	PRJNA224116	SAMN04590089			na		813	813	Chlamydia trachomatis	strain=E-DK-20		latest	Complete Genome	Major	Full	2016/06/03	ASM165553v1	CHI: Chlamydien-Wirtszell-Interaktion	GCA_001655535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/655/535/GCF_001655535.1_ASM165553v1	./data/refseq/bacteria/GCF_001655535.1/GCF_001655535.1_ASM165553v1_assembly_stats.txt
GCF_001655575.1	PRJNA224116	SAMN04590091			na		813	813	Chlamydia trachomatis	strain=F-6068		latest	Complete Genome	Major	Full	2016/06/03	ASM165557v1	CHI: Chlamydien-Wirtszell-Interaktion	GCA_001655575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/655/575/GCF_001655575.1_ASM165557v1	./data/refseq/bacteria/GCF_001655575.1/GCF_001655575.1_ASM165557v1_assembly_stats.txt
GCF_001729845.1	PRJNA224116	SAMN05372049			na		813	813	Chlamydia trachomatis	strain=SB006930		latest	Chromosome	Major	Full	2016/09/16	ASM172984v1	London School of Hygiene & Tropical Medicine	GCA_001729845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/845/GCF_001729845.1_ASM172984v1	./data/refseq/bacteria/GCF_001729845.1/GCF_001729845.1_ASM172984v1_assembly_stats.txt
GCF_001729865.1	PRJNA224116	SAMN05372050			na		813	813	Chlamydia trachomatis	strain=SB008107		latest	Chromosome	Major	Full	2016/09/16	ASM172986v1	London School of Hygiene & Tropical Medicine	GCA_001729865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/865/GCF_001729865.1_ASM172986v1	./data/refseq/bacteria/GCF_001729865.1/GCF_001729865.1_ASM172986v1_assembly_stats.txt
GCF_001729885.1	PRJNA224116	SAMN05372051			na		813	813	Chlamydia trachomatis	strain=SB013112		latest	Chromosome	Major	Full	2016/09/16	ASM172988v1	London School of Hygiene & Tropical Medicine	GCA_001729885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/885/GCF_001729885.1_ASM172988v1	./data/refseq/bacteria/GCF_001729885.1/GCF_001729885.1_ASM172988v1_assembly_stats.txt
GCF_001729905.1	PRJNA224116	SAMN05372052			na		813	813	Chlamydia trachomatis	strain=SB013321		latest	Chromosome	Major	Full	2016/09/16	ASM172990v1	London School of Hygiene & Tropical Medicine	GCA_001729905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/905/GCF_001729905.1_ASM172990v1	./data/refseq/bacteria/GCF_001729905.1/GCF_001729905.1_ASM172990v1_assembly_stats.txt
