assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000971665.1	PRJNA224116	SAMN02850632			na		1308	1308	Streptococcus thermophilus	strain=SMQ-301		latest	Complete Genome	Major	Full	2015/04/13	ASM97166v1	Universite Laval	GCA_000971665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/665/GCF_000971665.1_ASM97166v1	./data/refseq/bacteria/GCF_000971665.1/GCF_000971665.1_ASM97166v1_assembly_stats.txt
GCF_001008015.1	PRJNA224116	SAMN03325854			na		1308	1308	Streptococcus thermophilus	strain=MN-BM-A02		latest	Complete Genome	Major	Full	2015/05/15	ASM100801v1	Inner Mongolia Mengniu Dairy (Group) Co. Ltd.	GCA_001008015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/008/015/GCF_001008015.1_ASM100801v1	./data/refseq/bacteria/GCF_001008015.1/GCF_001008015.1_ASM100801v1_assembly_stats.txt
GCF_001280285.1	PRJNA224116	SAMN04002535			na		1308	1308	Streptococcus thermophilus	strain=MN-BM-A01		latest	Complete Genome	Major	Full	2015/09/09	ASM128028v1	CAU	GCA_001280285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/285/GCF_001280285.1_ASM128028v1	./data/refseq/bacteria/GCF_001280285.1/GCF_001280285.1_ASM128028v1_assembly_stats.txt
GCF_001514435.1	PRJNA224116	SAMN04384202			na		1308	1308	Streptococcus thermophilus	strain=S9		latest	Complete Genome	Major	Full	2016/01/14	ASM151443v1	China Agricultural University	GCA_001514435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/514/435/GCF_001514435.1_ASM151443v1	./data/refseq/bacteria/GCF_001514435.1/GCF_001514435.1_ASM151443v1_assembly_stats.txt
GCF_001663795.1	PRJNA224116	SAMN05226830			na		1308	1308	Streptococcus thermophilus	strain=KLDS SM		latest	Complete Genome	Major	Full	2016/06/14	ASM166379v1	Key Laboratory of Dairy Science, Ministry of Education	GCA_001663795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/795/GCF_001663795.1_ASM166379v1	./data/refseq/bacteria/GCF_001663795.1/GCF_001663795.1_ASM166379v1_assembly_stats.txt
GCF_001685375.1	PRJNA224116	SAMN05281844			na		1308	1308	Streptococcus thermophilus	strain=CS8		latest	Complete Genome	Major	Full	2016/07/15	ASM168537v1	China Agricultural University	GCA_001685375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/685/375/GCF_001685375.1_ASM168537v1	./data/refseq/bacteria/GCF_001685375.1/GCF_001685375.1_ASM168537v1_assembly_stats.txt
GCF_001705585.1	PRJNA224116	SAMN05465222			na		1308	1308	Streptococcus thermophilus	strain=KLDS 3.1003		latest	Complete Genome	Major	Full	2016/08/16	ASM170558v1	Key Laboratory of Dairy Science, Ministry of Education	GCA_001705585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/705/585/GCF_001705585.1_ASM170558v1	./data/refseq/bacteria/GCF_001705585.1/GCF_001705585.1_ASM170558v1_assembly_stats.txt
GCF_001855705.1	PRJNA224116	SAMN05357478			na		1308	1308	Streptococcus thermophilus	strain=ND07		latest	Complete Genome	Major	Full	2016/10/28	ASM185570v1	Inner Mongolia Agricultural University	GCA_001855705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/855/705/GCF_001855705.1_ASM185570v1	./data/refseq/bacteria/GCF_001855705.1/GCF_001855705.1_ASM185570v1_assembly_stats.txt
GCF_002012365.1	PRJNA224116	SAMN06349996			na		1308	1308	Streptococcus thermophilus	strain=APC151		latest	Complete Genome	Major	Full	2017/03/03	ASM201236v1	Teagasc Food Research	GCA_002012365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/365/GCF_002012365.1_ASM201236v1	./data/refseq/bacteria/GCF_002012365.1/GCF_002012365.1_ASM201236v1_assembly_stats.txt
GCF_002286255.1	PRJNA224116	SAMN05631197			na		1308	1308	Streptococcus thermophilus	strain=ST3		latest	Complete Genome	Major	Full	2017/09/05	ASM228625v1	Korea Food Research Institute	GCA_002286255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/255/GCF_002286255.1_ASM228625v1	./data/refseq/bacteria/GCF_002286255.1/GCF_002286255.1_ASM228625v1_assembly_stats.txt
GCF_002443035.1	PRJNA224116	SAMN07369158			na		1308	1308	Streptococcus thermophilus	strain=B59671		latest	Complete Genome	Major	Full	2017/10/04	ASM244303v1	USDA-Agricultural Research Service-Eastern Regional Research Center	GCA_002443035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/443/035/GCF_002443035.1_ASM244303v1	./data/refseq/bacteria/GCF_002443035.1/GCF_002443035.1_ASM244303v1_assembly_stats.txt
GCF_002843115.1	PRJNA224116	SAMN08130366			na		1308	1308	Streptococcus thermophilus	strain=DGCC 7710		latest	Complete Genome	Major	Full	2017/12/14	ASM284311v1	Oak Ridge National Laboratory	GCA_002843115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/843/115/GCF_002843115.1_ASM284311v1	./data/refseq/bacteria/GCF_002843115.1/GCF_002843115.1_ASM284311v1_assembly_stats.txt
GCF_002846075.1	PRJNA224116	SAMN07792323			na		1308	1308	Streptococcus thermophilus	strain=GABA		latest	Complete Genome	Major	Full	2017/12/21	ASM284607v1	Dairy Research Institute, Bright Dairy & Food Co.	GCA_002846075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/846/075/GCF_002846075.1_ASM284607v1	./data/refseq/bacteria/GCF_002846075.1/GCF_002846075.1_ASM284607v1_assembly_stats.txt
GCF_002846155.1	PRJNA224116	SAMN07792329			na		1308	1308	Streptococcus thermophilus	strain=EPS		latest	Complete Genome	Major	Full	2017/12/21	ASM284615v1	Dairy Research Institute, Bright Dairy & Food Co.	GCA_002846155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/846/155/GCF_002846155.1_ASM284615v1	./data/refseq/bacteria/GCF_002846155.1/GCF_002846155.1_ASM284615v1_assembly_stats.txt
GCF_003402855.1	PRJNA224116	SAMN09715176			na		1308	1308	Streptococcus thermophilus	strain=ST109		latest	Complete Genome	Major	Full	2018/08/18	ASM340285v1	USDA-Agricultural Research Service-Eastern Regional Research Center	GCA_003402855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/402/855/GCF_003402855.1_ASM340285v1	./data/refseq/bacteria/GCF_003402855.1/GCF_003402855.1_ASM340285v1_assembly_stats.txt
GCF_003443395.1	PRJNA224116	SAMN09909637			na		1308	1308	Streptococcus thermophilus	strain=ST106		latest	Complete Genome	Major	Full	2018/09/03	ASM344339v1	USDA-Agricultural Research Service-Eastern Regional Research Center	GCA_003443395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/395/GCF_003443395.1_ASM344339v1	./data/refseq/bacteria/GCF_003443395.1/GCF_003443395.1_ASM344339v1_assembly_stats.txt
GCF_004114735.1	PRJNA224116	SAMN10782595			na		1308	1308	Streptococcus thermophilus	strain=IDCC2201		latest	Complete Genome	Major	Full	2019/01/28	ASM411473v1	Research Laboratories, Ildong Pharmaceutical	GCA_004114735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/114/735/GCF_004114735.1_ASM411473v1	./data/refseq/bacteria/GCF_004114735.1/GCF_004114735.1_ASM411473v1_assembly_stats.txt
GCF_009856565.1	PRJNA224116	SAMN13618337			na		1308	1308	Streptococcus thermophilus	strain=EU01		latest	Complete Genome	Major	Full	2020/01/11	ASM985656v1	Tianjin University of Traditional Chinese Medicine	GCA_009856565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/856/565/GCF_009856565.1_ASM985656v1	./data/refseq/bacteria/GCF_009856565.1/GCF_009856565.1_ASM985656v1_assembly_stats.txt
GCF_010120595.1	PRJNA224116	SAMN11175069			na	assembly from type material	1308	1308	Streptococcus thermophilus	strain=ATCC 19258		latest	Complete Genome	Major	Full	2020/01/29	ASM1012059v1	Pusan National University	GCA_010120595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/120/595/GCF_010120595.1_ASM1012059v1	./data/refseq/bacteria/GCF_010120595.1/GCF_010120595.1_ASM1012059v1_assembly_stats.txt
GCF_010692845.1	PRJNA224116	SAMN14078561			na		1308	1308	Streptococcus thermophilus	strain=PNGR-Z-K3		latest	Chromosome	Major	Full	2020/02/18	ASM1069284v1	PANAGRO TARIM HAYVANCILIK GIDA SAN. VE TIC. A.S.	GCA_010692845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/692/845/GCF_010692845.1_ASM1069284v1	./data/refseq/bacteria/GCF_010692845.1/GCF_010692845.1_ASM1069284v1_assembly_stats.txt
GCF_011801285.1	PRJNA224116	SAMN12743474			na		1308	1308	Streptococcus thermophilus	strain=ST64987		latest	Complete Genome	Major	Full	2020/03/31	ASM1180128v1	University College Cork	GCA_011801285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/801/285/GCF_011801285.1_ASM1180128v1	./data/refseq/bacteria/GCF_011801285.1/GCF_011801285.1_ASM1180128v1_assembly_stats.txt
GCF_013307185.1	PRJNA224116	SAMN08295147			na		1308	1308	Streptococcus thermophilus	strain=CS5		latest	Complete Genome	Major	Full	2020/06/09	ASM1330718v1	harbin institute of technology	GCA_013307185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/307/185/GCF_013307185.1_ASM1330718v1	./data/refseq/bacteria/GCF_013307185.1/GCF_013307185.1_ASM1330718v1_assembly_stats.txt
GCF_013307285.1	PRJNA224116	SAMN09635157			na		1308	1308	Streptococcus thermophilus	strain=CS18		latest	Complete Genome	Major	Full	2020/06/09	ASM1330728v1	harbin institute of technology	GCA_013307285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/307/285/GCF_013307285.1_ASM1330728v1	./data/refseq/bacteria/GCF_013307285.1/GCF_013307285.1_ASM1330728v1_assembly_stats.txt
GCF_015190465.1	PRJNA224116	SAMN13106279			na		1308	1308	Streptococcus thermophilus	strain=TK-P3A		latest	Complete Genome	Major	Full	2020/11/02	ASM1519046v1	Zhejiang Tianke High Technology Development Co.Ltd.	GCA_015190465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/190/465/GCF_015190465.1_ASM1519046v1	./data/refseq/bacteria/GCF_015190465.1/GCF_015190465.1_ASM1519046v1_assembly_stats.txt
GCF_017359825.1	PRJNA224116	SAMN15923550			na		1308	1308	Streptococcus thermophilus	strain=24853		latest	Complete Genome	Major	Full	2021/03/16	ASM1735982v1	University of Lausanne	GCA_017359825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/359/825/GCF_017359825.1_ASM1735982v1	./data/refseq/bacteria/GCF_017359825.1/GCF_017359825.1_ASM1735982v1_assembly_stats.txt
GCF_017359885.1	PRJNA224116	SAMN15923549			na		1308	1308	Streptococcus thermophilus	strain=24740		latest	Complete Genome	Major	Full	2021/03/16	ASM1735988v1	University of Lausanne	GCA_017359885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/359/885/GCF_017359885.1_ASM1735988v1	./data/refseq/bacteria/GCF_017359885.1/GCF_017359885.1_ASM1735988v1_assembly_stats.txt
GCF_017360005.1	PRJNA224116	SAMN15923548			na		1308	1308	Streptococcus thermophilus	strain=24739		latest	Complete Genome	Major	Full	2021/03/16	ASM1736000v1	University of Lausanne	GCA_017360005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/360/005/GCF_017360005.1_ASM1736000v1	./data/refseq/bacteria/GCF_017360005.1/GCF_017360005.1_ASM1736000v1_assembly_stats.txt
GCF_017360085.1	PRJNA224116	SAMN15923547			na		1308	1308	Streptococcus thermophilus	strain=24738		latest	Complete Genome	Major	Full	2021/03/16	ASM1736008v1	University of Lausanne	GCA_017360085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/360/085/GCF_017360085.1_ASM1736008v1	./data/refseq/bacteria/GCF_017360085.1/GCF_017360085.1_ASM1736008v1_assembly_stats.txt
GCF_017360165.1	PRJNA224116	SAMN15923544			na		1308	1308	Streptococcus thermophilus	strain=13499		latest	Complete Genome	Major	Full	2021/03/16	ASM1736016v1	University of Lausanne	GCA_017360165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/360/165/GCF_017360165.1_ASM1736016v1	./data/refseq/bacteria/GCF_017360165.1/GCF_017360165.1_ASM1736016v1_assembly_stats.txt
GCF_017360245.1	PRJNA224116	SAMN15923541			na		1308	1308	Streptococcus thermophilus	strain=13498		latest	Complete Genome	Major	Full	2021/03/16	ASM1736024v1	University of Lausanne	GCA_017360245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/360/245/GCF_017360245.1_ASM1736024v1	./data/refseq/bacteria/GCF_017360245.1/GCF_017360245.1_ASM1736024v1_assembly_stats.txt
GCF_017360305.1	PRJNA224116	SAMN15923539			na		1308	1308	Streptococcus thermophilus	strain=13496		latest	Complete Genome	Major	Full	2021/03/16	ASM1736030v1	University of Lausanne	GCA_017360305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/360/305/GCF_017360305.1_ASM1736030v1	./data/refseq/bacteria/GCF_017360305.1/GCF_017360305.1_ASM1736030v1_assembly_stats.txt
