assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000746665.1	PRJNA224116	SAMN03009989			na		672	672	Vibrio vulnificus	strain=93U204		latest	Complete Genome	Major	Full	2014/08/29	ASM74666v1	Academia Sinica	GCA_000746665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/665/GCF_000746665.1_ASM74666v1	./data/refseq/bacteria/GCF_000746665.1/GCF_000746665.1_ASM74666v1_assembly_stats.txt
GCF_001433435.1	PRJNA224116	SAMN03174938			na		672	672	Vibrio vulnificus	strain=FORC_009		latest	Complete Genome	Major	Full	2015/11/05	ASM143343v1	Food-borne Pathogen Omics Research Center, FORC	GCA_001433435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/433/435/GCF_001433435.1_ASM143343v1	./data/refseq/bacteria/GCF_001433435.1/GCF_001433435.1_ASM143343v1_assembly_stats.txt
GCF_001558515.2	PRJNA224116	SAMN03996334			na		672	672	Vibrio vulnificus	strain=FDAARGOS_119		latest	Complete Genome	Major	Full	2018/01/31	ASM155851v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_001558515.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/515/GCF_001558515.2_ASM155851v2	./data/refseq/bacteria/GCF_001558515.2/GCF_001558515.2_ASM155851v2_assembly_stats.txt
GCF_001653775.1	PRJNA224116	SAMN03764475			na		672	672	Vibrio vulnificus	strain=FORC_016		latest	Complete Genome	Major	Full	2016/06/01	ASM165377v1	Food-borne Pathogen Omics Research Center, FORC	GCA_001653775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/775/GCF_001653775.1_ASM165377v1	./data/refseq/bacteria/GCF_001653775.1/GCF_001653775.1_ASM165377v1_assembly_stats.txt
GCF_001675245.1	PRJNA224116	SAMN03956906			na		672	672	Vibrio vulnificus	strain=FORC_017		latest	Complete Genome	Major	Full	2016/06/22	ASM167524v1	Food-borne Pathogen Omics Research Center, FORC	GCA_001675245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/675/245/GCF_001675245.1_ASM167524v1	./data/refseq/bacteria/GCF_001675245.1/GCF_001675245.1_ASM167524v1_assembly_stats.txt
GCF_002204915.1	PRJNA224116	SAMN05196200			na		672	672	Vibrio vulnificus	strain=FORC_037		latest	Complete Genome	Major	Full	2017/06/22	ASM220491v1	Food-borne Pathogen Omics Research Center, FORC	GCA_002204915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/915/GCF_002204915.1_ASM220491v1	./data/refseq/bacteria/GCF_002204915.1/GCF_002204915.1_ASM220491v1_assembly_stats.txt
GCF_002215135.1	PRJNA224116	SAMN04457466			na		672	672	Vibrio vulnificus	strain=CECT 4999		latest	Complete Genome	Major	Full	2017/07/06	ASM221513v1	NHRI, Taiwan	GCA_002215135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/135/GCF_002215135.1_ASM221513v1	./data/refseq/bacteria/GCF_002215135.1/GCF_002215135.1_ASM221513v1_assembly_stats.txt
GCF_002850455.1	PRJNA224116	SAMN06237111			na		672	672	Vibrio vulnificus	strain=VV2014DJH		latest	Complete Genome	Major	Full	2018/01/03	ASM285045v1	Zhejiang Provincial Center for Disease Control and Prevention	GCA_002850455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/850/455/GCF_002850455.1_ASM285045v1	./data/refseq/bacteria/GCF_002850455.1/GCF_002850455.1_ASM285045v1_assembly_stats.txt
GCF_002863725.1	PRJNA224116	SAMN06184571			na		672	672	Vibrio vulnificus	strain=FORC_054		latest	Complete Genome	Major	Full	2018/01/05	ASM286372v1	Food-borne Pathogen Omics Research Center, FORC	GCA_002863725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/863/725/GCF_002863725.1_ASM286372v1	./data/refseq/bacteria/GCF_002863725.1/GCF_002863725.1_ASM286372v1_assembly_stats.txt
GCF_003522555.1	PRJNA224116	SAMN06184516			na		672	672	Vibrio vulnificus	strain=FORC_053		latest	Complete Genome	Major	Full	2018/09/10	ASM352255v1	Food-borne Pathogen Omics Research Center, FORC	GCA_003522555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/522/555/GCF_003522555.1_ASM352255v1	./data/refseq/bacteria/GCF_003522555.1/GCF_003522555.1_ASM352255v1_assembly_stats.txt
