assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000953275.1	PRJNA224116	SAMEA2780266			na		1496	1496	Clostridioides difficile	strain=630Derm		latest	Complete Genome	Major	Full	2014/12/16	CD630DERM	SC	GCA_000953275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/275/GCF_000953275.1_CD630DERM	./data/refseq/bacteria/GCF_000953275.1/GCF_000953275.1_CD630DERM_assembly_stats.txt
GCF_001577795.1	PRJNA224116	SAMN03332454			na		1496	1496	Clostridioides difficile	strain=08ACD0030		latest	Complete Genome	Major	Full	2016/02/29	ASM157779v1	Canadian Science Centre for Human and Animal Health	GCA_001577795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/795/GCF_001577795.1_ASM157779v1	./data/refseq/bacteria/GCF_001577795.1/GCF_001577795.1_ASM157779v1_assembly_stats.txt
GCF_002007885.1	PRJNA224116	SAMN06286529			representative genome		1496	1496	Clostridioides difficile	strain=BR81		latest	Complete Genome	Major	Full	2017/02/28	ASM200788v1	Kyung Hee University	GCA_002007885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/885/GCF_002007885.1_ASM200788v1	./data/refseq/bacteria/GCF_002007885.1/GCF_002007885.1_ASM200788v1_assembly_stats.txt
GCF_002073735.2	PRJNA224116	SAMN04875593			na		1496	1496	Clostridioides difficile	strain=FDAARGOS_267		latest	Complete Genome	Major	Full	2018/03/01	ASM207373v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_002073735.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/735/GCF_002073735.2_ASM207373v2	./data/refseq/bacteria/GCF_002073735.2/GCF_002073735.2_ASM207373v2_assembly_stats.txt
GCF_002080065.1	PRJNA224116	SAMN05285388			na		1496	1496	Clostridioides difficile	strain=630 delta erm		latest	Complete Genome	Major	Full	2017/04/05	ASM208006v1	Goettingen Genomics Laboratory	GCA_002080065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/080/065/GCF_002080065.1_ASM208006v1	./data/refseq/bacteria/GCF_002080065.1/GCF_002080065.1_ASM208006v1_assembly_stats.txt
GCF_002234355.1	PRJNA224116	SAMN07339707			na		1496	1496	Clostridioides difficile	strain=DH/NAP11/106/ST-42		latest	Complete Genome	Major	Full	2017/07/27	ASM223435v1	Northwestern University	GCA_002234355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/234/355/GCF_002234355.1_ASM223435v1	./data/refseq/bacteria/GCF_002234355.1/GCF_002234355.1_ASM223435v1_assembly_stats.txt
GCF_002812585.1	PRJNA224116	SAMN08104991			na		1496	1496	Clostridioides difficile	strain=R0104a		latest	Complete Genome	Major	Full	2017/12/06	ASM281258v1	New York Medical College	GCA_002812585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/812/585/GCF_002812585.1_ASM281258v1	./data/refseq/bacteria/GCF_002812585.1/GCF_002812585.1_ASM281258v1_assembly_stats.txt
GCF_002812605.1	PRJNA224116	SAMN08104990			na		1496	1496	Clostridioides difficile	strain=W0023a		latest	Complete Genome	Major	Full	2017/12/06	ASM281260v1	New York Medical College	GCA_002812605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/812/605/GCF_002812605.1_ASM281260v1	./data/refseq/bacteria/GCF_002812605.1/GCF_002812605.1_ASM281260v1_assembly_stats.txt
GCF_002812625.1	PRJNA224116	SAMN08104989			na		1496	1496	Clostridioides difficile	strain=W0022a		latest	Complete Genome	Major	Full	2017/12/06	ASM281262v1	New York Medical College	GCA_002812625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/812/625/GCF_002812625.1_ASM281262v1	./data/refseq/bacteria/GCF_002812625.1/GCF_002812625.1_ASM281262v1_assembly_stats.txt
GCF_002812645.1	PRJNA224116	SAMN08104988			na		1496	1496	Clostridioides difficile	strain=W0003a		latest	Complete Genome	Major	Full	2017/12/06	ASM281264v1	New York Medical College	GCA_002812645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/812/645/GCF_002812645.1_ASM281264v1	./data/refseq/bacteria/GCF_002812645.1/GCF_002812645.1_ASM281264v1_assembly_stats.txt
