assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000685665.1	PRJNA224116	SAMN02736809			na		210	210	Helicobacter pylori	strain=BM013A		latest	Complete Genome	Major	Full	2014/05/08	ASM68566v1	Penn State University	GCA_000685665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/665/GCF_000685665.1_ASM68566v1	./data/refseq/bacteria/GCF_000685665.1/GCF_000685665.1_ASM68566v1_genomic.fna.gz
GCF_000685665.1	PRJNA224116	SAMN02736809			na		210	210	Helicobacter pylori	strain=BM013A		latest	Complete Genome	Major	Full	2014/05/08	ASM68566v1	Penn State University	GCA_000685665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/665/GCF_000685665.1_ASM68566v1	./data/refseq/bacteria/GCF_000685665.1/GCF_000685665.1_ASM68566v1_rna_from_genomic.fna.gz
GCF_000685665.1	PRJNA224116	SAMN02736809			na		210	210	Helicobacter pylori	strain=BM013A		latest	Complete Genome	Major	Full	2014/05/08	ASM68566v1	Penn State University	GCA_000685665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/665/GCF_000685665.1_ASM68566v1	./data/refseq/bacteria/GCF_000685665.1/GCF_000685665.1_ASM68566v1_assembly_report.txt
GCF_000685665.1	PRJNA224116	SAMN02736809			na		210	210	Helicobacter pylori	strain=BM013A		latest	Complete Genome	Major	Full	2014/05/08	ASM68566v1	Penn State University	GCA_000685665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/665/GCF_000685665.1_ASM68566v1	./data/refseq/bacteria/GCF_000685665.1/GCF_000685665.1_ASM68566v1_assembly_stats.txt
GCF_000685665.1	PRJNA224116	SAMN02736809			na		210	210	Helicobacter pylori	strain=BM013A		latest	Complete Genome	Major	Full	2014/05/08	ASM68566v1	Penn State University	GCA_000685665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/665/GCF_000685665.1_ASM68566v1	./data/refseq/bacteria/GCF_000685665.1/GCF_000685665.1_ASM68566v1_feature_table.txt.gz
GCF_000685745.1	PRJNA224116	SAMN02736816			na		210	210	Helicobacter pylori	strain=BM013B		latest	Complete Genome	Major	Full	2014/05/08	ASM68574v1	Penn State University	GCA_000685745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/745/GCF_000685745.1_ASM68574v1	./data/refseq/bacteria/GCF_000685745.1/GCF_000685745.1_ASM68574v1_genomic.fna.gz
GCF_000685745.1	PRJNA224116	SAMN02736816			na		210	210	Helicobacter pylori	strain=BM013B		latest	Complete Genome	Major	Full	2014/05/08	ASM68574v1	Penn State University	GCA_000685745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/745/GCF_000685745.1_ASM68574v1	./data/refseq/bacteria/GCF_000685745.1/GCF_000685745.1_ASM68574v1_rna_from_genomic.fna.gz
GCF_000685745.1	PRJNA224116	SAMN02736816			na		210	210	Helicobacter pylori	strain=BM013B		latest	Complete Genome	Major	Full	2014/05/08	ASM68574v1	Penn State University	GCA_000685745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/745/GCF_000685745.1_ASM68574v1	./data/refseq/bacteria/GCF_000685745.1/GCF_000685745.1_ASM68574v1_assembly_report.txt
GCF_000685745.1	PRJNA224116	SAMN02736816			na		210	210	Helicobacter pylori	strain=BM013B		latest	Complete Genome	Major	Full	2014/05/08	ASM68574v1	Penn State University	GCA_000685745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/745/GCF_000685745.1_ASM68574v1	./data/refseq/bacteria/GCF_000685745.1/GCF_000685745.1_ASM68574v1_assembly_stats.txt
GCF_000685745.1	PRJNA224116	SAMN02736816			na		210	210	Helicobacter pylori	strain=BM013B		latest	Complete Genome	Major	Full	2014/05/08	ASM68574v1	Penn State University	GCA_000685745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/745/GCF_000685745.1_ASM68574v1	./data/refseq/bacteria/GCF_000685745.1/GCF_000685745.1_ASM68574v1_feature_table.txt.gz
GCF_000817025.1	PRJNA224116	SAMN03154060			na		210	210	Helicobacter pylori	strain=Hp238		latest	Complete Genome	Major	Full	2015/01/09	ASM81702v1	National Cheng Kung University	GCA_000817025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/025/GCF_000817025.1_ASM81702v1	./data/refseq/bacteria/GCF_000817025.1/GCF_000817025.1_ASM81702v1_genomic.fna.gz
GCF_000817025.1	PRJNA224116	SAMN03154060			na		210	210	Helicobacter pylori	strain=Hp238		latest	Complete Genome	Major	Full	2015/01/09	ASM81702v1	National Cheng Kung University	GCA_000817025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/025/GCF_000817025.1_ASM81702v1	./data/refseq/bacteria/GCF_000817025.1/GCF_000817025.1_ASM81702v1_rna_from_genomic.fna.gz
GCF_000817025.1	PRJNA224116	SAMN03154060			na		210	210	Helicobacter pylori	strain=Hp238		latest	Complete Genome	Major	Full	2015/01/09	ASM81702v1	National Cheng Kung University	GCA_000817025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/025/GCF_000817025.1_ASM81702v1	./data/refseq/bacteria/GCF_000817025.1/GCF_000817025.1_ASM81702v1_assembly_report.txt
GCF_000817025.1	PRJNA224116	SAMN03154060			na		210	210	Helicobacter pylori	strain=Hp238		latest	Complete Genome	Major	Full	2015/01/09	ASM81702v1	National Cheng Kung University	GCA_000817025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/025/GCF_000817025.1_ASM81702v1	./data/refseq/bacteria/GCF_000817025.1/GCF_000817025.1_ASM81702v1_assembly_stats.txt
GCF_000817025.1	PRJNA224116	SAMN03154060			na		210	210	Helicobacter pylori	strain=Hp238		latest	Complete Genome	Major	Full	2015/01/09	ASM81702v1	National Cheng Kung University	GCA_000817025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/025/GCF_000817025.1_ASM81702v1	./data/refseq/bacteria/GCF_000817025.1/GCF_000817025.1_ASM81702v1_feature_table.txt.gz
GCF_000827025.1	PRJNA224116	SAMN03268365			na		210	210	Helicobacter pylori	strain=26695-1MET		latest	Complete Genome	Major	Full	2015/01/21	ASM82702v1	Oita University	GCA_000827025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/827/025/GCF_000827025.1_ASM82702v1	./data/refseq/bacteria/GCF_000827025.1/GCF_000827025.1_ASM82702v1_genomic.fna.gz
GCF_000827025.1	PRJNA224116	SAMN03268365			na		210	210	Helicobacter pylori	strain=26695-1MET		latest	Complete Genome	Major	Full	2015/01/21	ASM82702v1	Oita University	GCA_000827025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/827/025/GCF_000827025.1_ASM82702v1	./data/refseq/bacteria/GCF_000827025.1/GCF_000827025.1_ASM82702v1_rna_from_genomic.fna.gz
